object_name,expected_kind,status,actual_kind
market.competitor_pricing_snapshots,table,PRESENT,partitioned_table
market.competitor_properties,table,PRESENT,table
market.locality_market_metrics,table,PRESENT,table
public.apartments,table,PRESENT,table
public.attendance_logs,table,PRESENT,table
public.beds,table,PRESENT,table
public.coa_accounts,table,PRESENT,table
public.companies,table,PRESENT,table
public.deposit_settlements,table,PRESENT,table
public.eb_tenant_shares,table,PRESENT,table
public.electricity_readings,table,PRESENT,table
public.electricity_shares,table,PRESENT,table
public.employees,table,PRESENT,table
public.expenses,table,PRESENT,table
public.invoices,table,PRESENT,table
public.journal_entries,table,PRESENT,table
public.journal_lines,table,PRESENT,table
public.ledger_entries,table,PRESENT,table
public.maintenance_tickets,table,PRESENT,table
public.owner_payments,table,PRESENT,table
public.payroll,table,PRESENT,table
public.properties,table,PRESENT,table
public.receipt_allocations,table,PRESENT,table
public.receipts,table,PRESENT,table
public.tenant_adjustments,table,PRESENT,table
public.tenant_allotments,table,PRESENT,table
public.tenant_transactions,table,PRESENT,table
public.tenants,table,PRESENT,table
public.ticket_resolutions,table,PRESENT,table
public.tickets,table,PRESENT,table
public.users,table,PRESENT,table
public.v_account_balances,view,PRESENT,view
public.v_active_tenants,view,PRESENT,view
public.v_advance_balances,view,PRESENT,view
public.v_deposit_ledger_anomalies,view,PRESENT,view
public.v_diag_allotment_balance_drift,view,PRESENT,view
public.v_diag_deposit_phantom,view,PRESENT,view
public.v_diag_invoice_drift,view,PRESENT,view
public.v_diag_orphan_receipts,view,PRESENT,view
public.v_diag_owner_rent_missing_from_profit,view,PRESENT,view
public.v_exit_reconciliation_worklist,view,PRESENT,view
public.v_invoice_settlement_status,view,PRESENT,view
public.v_je_amount_reconciliation,view,PRESENT,view
public.v_je_intentional_skips,view,PRESENT,view
public.v_je_source_counts,view,PRESENT,view
public.v_je_stub_pollution,view,PRESENT,view
public.v_maintenance_by_issue_type,view,PRESENT,view
public.v_maintenance_metrics,view,PRESENT,view
public.v_occupancy,view,PRESENT,view
public.v_org_cash_balance,view,PRESENT,view
public.v_outstanding_receivables,view,PRESENT,view
public.v_pnl,view,PRESENT,view
public.v_pnl_by_category,view,PRESENT,view
public.v_tenant_aging,view,PRESENT,view
public.v_tenant_current_dues,view,PRESENT,view
public.v_tenant_ledger,view,PRESENT,view
public.v_trial_balance,view,PRESENT,view
public.v_trial_balance_detailed,view,PRESENT,view
