from_schema,from_table,from_column,candidate_to_table,candidate_to_column,match_basis,relationship_kind
public,apartments,property_tax_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,apartments,water_tax_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,asset_depreciation,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,assets,bed_id,beds,id,pluralised_stem,INFERRED_UNVERIFIED
public,attendance_logs,check_in_device_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,attendance_logs,check_out_device_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,attendance_logs,shift_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,attendance_sync,record_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,audit_logs,record_id,null,null,no_name_match,INFERRED_UNVERIFIED
market,competitor_intelligence,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
market,competitor_reviews,source_review_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,cost_estimate_approvers,approver_user_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,eb_monitoring_readings,apartment_id,apartments,id,pluralised_stem,INFERRED_UNVERIFIED
public,eb_monitoring_readings,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,eb_monitoring_readings,property_id,properties,id,pluralised_stem,INFERRED_UNVERIFIED
public,eb_tenant_shares,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,employees,employee_id,employees,id,pluralised_stem,INFERRED_UNVERIFIED
public,employees,shift_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,employees_sync,record_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,enquiries,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,exit_tasks,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,financial_audit_log,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,financial_audit_log,source_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,invoice_line_items,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,invoice_pdf_configs,upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,invoices,reference_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,journal_entries,source_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,journal_lines,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,journal_lines,party_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,leave_requests_sync,record_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,ledger_entries,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,migration_log,record_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,org_ai_settings,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,organization_bank_accounts,upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,organization_subscriptions,razorpay_customer_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,organization_subscriptions,razorpay_subscription_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,owner_contracts,property_tax_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,owner_contracts,water_tax_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,payment_proofs,booking_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,payroll_sync,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,payroll_sync,team_member_id,team_members,id,pluralised_stem,INFERRED_UNVERIFIED
public,purchase_items,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,receipt_number_counters,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,receipt_number_counters,property_id,properties,id,pluralised_stem,INFERRED_UNVERIFIED
public,receipts_dedup_audit,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,receipts_dedup_audit,tenant_id,tenants,id,pluralised_stem,INFERRED_UNVERIFIED
public,replacement_forecasts,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,room_switches,new_apartment_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,room_switches,new_property_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,room_switches,old_apartment_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,room_switches,old_property_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,running_bed_maintenance_details,purchase_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,team_attendance,attendance_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,team_attendance,convex_record_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,tenant_adjustments,reference_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,tenant_document_history,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,tenant_exits,refund_bank_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,tenant_remarks,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,tenant_transactions,reference_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,tenants,upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,ticket_assignment_rules,assigned_employee_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,ticket_assignment_rules,issue_type_id,issue_types,id,pluralised_stem,INFERRED_UNVERIFIED
public,ticket_assignment_rules,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,ticket_cost_estimates,repeat_job_previous_ticket_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,ticket_cost_estimates_dedupe_backup_20260715,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,ticket_cost_estimates_dedupe_backup_20260715,repeat_job_previous_ticket_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,ticket_cost_estimates_dedupe_backup_20260715,ticket_id,tickets,id,pluralised_stem,INFERRED_UNVERIFIED
public,ticket_logs,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,ticket_resolutions,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,tickets,apartment_id,apartments,id,pluralised_stem,INFERRED_UNVERIFIED
public,tickets,assigned_employee_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,tickets,bed_id,beds,id,pluralised_stem,INFERRED_UNVERIFIED
public,tickets,issue_type_id,issue_types,id,pluralised_stem,INFERRED_UNVERIFIED
public,tickets,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,tickets,property_id,properties,id,pluralised_stem,INFERRED_UNVERIFIED
public,tickets,tenant_id,tenants,id,pluralised_stem,INFERRED_UNVERIFIED
public,upi_tenant_mappings,normalized_upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,upi_tenant_mappings,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,upi_tenant_mappings,tenant_id,tenants,id,pluralised_stem,INFERRED_UNVERIFIED
public,upi_tenant_mappings,upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,users,active_session_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,vendor_remarks,organization_id,organizations,id,pluralised_stem,INFERRED_UNVERIFIED
public,whatsapp_events,correlation_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,whatsapp_events,external_conversation_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,whatsapp_events,external_message_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,whatsapp_payment_submissions,ocr_receiver_upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,whatsapp_payment_submissions,ocr_receiving_upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,whatsapp_payment_submissions,ocr_sender_upi_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,whatsapp_send_deliveries,reference_id,null,null,no_name_match,INFERRED_UNVERIFIED
public,whatsapp_send_deliveries,tenant_id,tenants,id,pluralised_stem,INFERRED_UNVERIFIED
