type_schema,enum_type,sort_order,enum_value,value_count
public,account_type,1,ASSET,5
public,account_type,2,LIABILITY,5
public,account_type,3,EQUITY,5
public,account_type,4,INCOME,5
public,account_type,5,EXPENSE,5
public,app_role,1,super_admin,7
public,app_role,2,org_admin,7
public,app_role,3,property_manager,7
public,app_role,4,technician,7
public,app_role,5,tenant,7
public,app_role,6,employee,7
public,app_role,7,accounts,7
public,bed_type,1,Executive,5
public,bed_type,2,Single,5
public,bed_type,3,Double,5
public,bed_type,4,Triple,5
public,bed_type,5,Quad,5
public,entity_status,1,Live,7
public,entity_status,2,In-Progress,7
public,entity_status,3,Not-Active,7
public,entity_status,4,Exited,7
public,entity_status,5,Signed,7
public,entity_status,6,Not-Ready,7
public,entity_status,7,In-Active,7
public,normal_balance,1,DEBIT,2
public,normal_balance,2,CREDIT,2
public,party_kind,1,tenant,5
public,party_kind,2,owner,5
public,party_kind,3,vendor,5
public,party_kind,4,bank,5
public,party_kind,5,property,5
public,staying_status,1,Booked,5
public,staying_status,2,On-Notice,5
public,staying_status,3,Staying,5
public,staying_status,4,Exited,5
public,staying_status,5,Cancelled,5
public,toilet_type,1,Attached,2
public,toilet_type,2,Common,2
