table_schema,table_name,index_name,is_unique,is_partial,definition
market,amenities_master,amenities_master_canonical_name_key,true,false,CREATE UNIQUE INDEX amenities_master_canonical_name_key ON market.amenities_master USING btree (canonical_name)
market,amenities_master,amenities_master_pkey,true,false,CREATE UNIQUE INDEX amenities_master_pkey ON market.amenities_master USING btree (id)
market,amenity_embeddings,amenity_embeddings_pkey,true,false,CREATE UNIQUE INDEX amenity_embeddings_pkey ON market.amenity_embeddings USING btree (amenity_id)
market,amenity_embeddings,idx_amenity_embeddings_hnsw,false,false,"CREATE INDEX idx_amenity_embeddings_hnsw ON market.amenity_embeddings USING hnsw (embedding vector_cosine_ops) WITH (m='16', ef_construction='64')"
market,competitor_intelligence,competitor_intelligence_competitor_id_key,true,false,CREATE UNIQUE INDEX competitor_intelligence_competitor_id_key ON market.competitor_intelligence USING btree (competitor_id)
market,competitor_intelligence,competitor_intelligence_pkey,true,false,CREATE UNIQUE INDEX competitor_intelligence_pkey ON market.competitor_intelligence USING btree (id)
market,competitor_intelligence,idx_comp_intel_org,false,false,CREATE INDEX idx_comp_intel_org ON market.competitor_intelligence USING btree (organization_id)
market,competitor_pricing_snapshots,idx_snapshots_org_competitor,false,false,"CREATE INDEX idx_snapshots_org_competitor ON ONLY market.competitor_pricing_snapshots USING btree (organization_id, competitor_id, scraped_at DESC)"
market,competitor_pricing_snapshots_2026_05,competitor_pricing_snapshots__organization_id_competitor_id_idx,false,false,"CREATE INDEX competitor_pricing_snapshots__organization_id_competitor_id_idx ON market.competitor_pricing_snapshots_2026_05 USING btree (organization_id, competitor_id, scraped_at DESC)"
market,competitor_pricing_snapshots_2026_06,competitor_pricing_snapshots__organization_id_competitor_i_idx1,false,false,"CREATE INDEX competitor_pricing_snapshots__organization_id_competitor_i_idx1 ON market.competitor_pricing_snapshots_2026_06 USING btree (organization_id, competitor_id, scraped_at DESC)"
market,competitor_pricing_snapshots_2026_07,competitor_pricing_snapshots__organization_id_competitor_i_idx2,false,false,"CREATE INDEX competitor_pricing_snapshots__organization_id_competitor_i_idx2 ON market.competitor_pricing_snapshots_2026_07 USING btree (organization_id, competitor_id, scraped_at DESC)"
