schema_name,view_name,ordinal_position,column_name,data_type
public,maintenance_item_low_stock,1,organization_id,uuid
public,maintenance_item_low_stock,2,maintenance_item_id,uuid
public,maintenance_item_low_stock,3,current_stock,numeric
public,maintenance_item_low_stock,4,minimum_stock_level,numeric
public,maintenance_item_low_stock,5,last_purchase_cost,numeric
public,maintenance_item_stock_summary,1,organization_id,uuid
public,maintenance_item_stock_summary,2,maintenance_item_id,uuid
public,maintenance_item_stock_summary,3,current_stock,numeric
public,maintenance_item_stock_summary,4,minimum_stock_level,numeric
public,maintenance_item_stock_summary,5,last_purchase_cost,numeric
public,v_account_balances,1,organization_id,uuid
public,v_account_balances,2,entry_date,date
public,v_account_balances,3,period,text
public,v_account_balances,4,journal_entry_id,uuid
public,v_account_balances,5,source_table,text
public,v_account_balances,6,source_id,uuid
public,v_account_balances,7,is_reversal_of,uuid
public,v_account_balances,8,account_id,uuid
public,v_account_balances,9,account_code,text
public,v_account_balances,10,account_name,text
public,v_account_balances,11,account_type,account_type
public,v_account_balances,12,normal_balance,normal_balance
public,v_account_balances,13,parent_code,text
public,v_account_balances,14,parent_name,text
public,v_account_balances,15,party_kind,party_kind
public,v_account_balances,16,party_id,uuid
public,v_account_balances,17,allotment_id,uuid
public,v_account_balances,18,property_id,uuid
public,v_account_balances,19,apartment_id,uuid
public,v_account_balances,20,bed_id,uuid
public,v_account_balances,21,debit,"numeric(14,2)"
public,v_account_balances,22,credit,"numeric(14,2)"
public,v_account_balances,23,signed_amount,numeric
public,v_account_rollup,1,organization_id,uuid
public,v_account_rollup,2,account_id,uuid
public,v_account_rollup,3,code,text
public,v_account_rollup,4,name,text
public,v_account_rollup,5,account_type,account_type
public,v_account_rollup,6,normal_balance,normal_balance
public,v_account_rollup,7,parent_id,uuid
public,v_account_rollup,8,total_debit_rollup,numeric
public,v_account_rollup,9,total_credit_rollup,numeric
public,v_account_rollup,10,balance_rollup,numeric
public,v_active_tenants,1,organization_id,uuid
public,v_active_tenants,2,property_id,uuid
public,v_active_tenants,3,active_tenants,bigint
public,v_active_tenants,4,booked_tenants,bigint
public,v_active_tenants,5,total_tenants_ever,bigint
public,v_advance_balances,1,organization_id,uuid
public,v_advance_balances,2,tenant_id,uuid
public,v_advance_balances,3,allotment_id,uuid
public,v_advance_balances,4,deposit_held,numeric
public,v_advance_balances,5,booking_advance,numeric
public,v_asset_payment_status,1,asset_id,uuid
public,v_asset_payment_status,2,organization_id,uuid
public,v_asset_payment_status,3,asset_code,text
public,v_asset_payment_status,4,invoice_number,text
public,v_asset_payment_status,5,invoice_date,date
public,v_asset_payment_status,6,purchase_date,date
public,v_asset_payment_status,7,purchase_price,"numeric(10,2)"
public,v_asset_payment_status,8,supplier_id,uuid
public,v_asset_payment_status,9,vendor_name,text
public,v_asset_payment_status,10,total_paid,numeric
public,v_asset_payment_status,11,balance_due,numeric
public,v_asset_payment_status,12,payment_count,bigint
public,v_asset_payment_status,13,last_payment_date,date
public,v_asset_payment_status,14,status,text
public,v_bed_expense_breakdown,1,organization_id,uuid
public,v_bed_expense_breakdown,2,bed_id,uuid
public,v_bed_expense_breakdown,3,apartment_id,uuid
public,v_bed_expense_breakdown,4,property_id,uuid
public,v_bed_expense_breakdown,5,month,date
public,v_bed_expense_breakdown,6,category_code,text
public,v_bed_expense_breakdown,7,category_name,text
public,v_bed_expense_breakdown,8,amount,numeric
public,v_deposit_ledger_anomalies,1,organization_id,uuid
public,v_deposit_ledger_anomalies,2,tenant_id,uuid
public,v_deposit_ledger_anomalies,3,allotment_id,uuid
public,v_deposit_ledger_anomalies,4,settlement_id,uuid
public,v_deposit_ledger_anomalies,5,anomaly,text
public,v_deposit_ledger_anomalies,6,details,text
public,v_diag_allotment_balance_drift,1,allotment_id,uuid
public,v_diag_allotment_balance_drift,2,organization_id,uuid
public,v_diag_allotment_balance_drift,3,stored_balance,numeric
public,v_diag_allotment_balance_drift,4,computed_balance,numeric
public,v_diag_allotment_balance_drift,5,drift,numeric
public,v_diag_deposit_phantom,1,organization_id,uuid
public,v_diag_deposit_phantom,2,allotment_id,uuid
public,v_diag_deposit_phantom,3,tenant_id,uuid
public,v_diag_deposit_phantom,4,deposit_paid,"numeric(10,2)"
public,v_diag_deposit_phantom,5,staying_status,staying_status
public,v_diag_deposit_phantom,6,actual_exit_date,date
public,v_diag_deposit_phantom,7,note,text
