table_schema,table_name,ordinal_position,column_name,data_type,total_rows,non_null_rows,distinct_values
market,amenities_master,1,id,uuid,15,15,15
market,amenities_master,2,canonical_name,text,15,15,15
market,amenities_master,3,aliases,text[],15,15,15
market,amenities_master,4,category,text,15,15,8
market,amenity_embeddings,1,amenity_id,uuid,0,0,0
market,amenity_embeddings,2,embedding,vector(768),0,0,0
market,amenity_embeddings,3,updated_at,timestamp with time zone,0,0,0
market,competitor_intelligence,1,id,uuid,133,133,133
market,competitor_intelligence,2,organization_id,uuid,133,133,1
market,competitor_intelligence,3,competitor_id,uuid,133,133,133
market,competitor_intelligence,4,pricing_min,"numeric(10,2)",133,21,17
market,competitor_intelligence,5,pricing_max,"numeric(10,2)",133,21,17
market,competitor_intelligence,6,room_types,jsonb,133,133,34
market,competitor_intelligence,7,amenities,text[],133,133,50
market,competitor_intelligence,8,amenity_score,integer,133,63,19
market,competitor_intelligence,9,market_segment,text,133,52,4
market,competitor_intelligence,10,target_demographic,text,133,55,3
market,competitor_intelligence,11,digital_maturity_score,integer,133,63,12
market,competitor_intelligence,12,has_online_booking,boolean,133,63,2
market,competitor_intelligence,13,has_virtual_tour,boolean,133,63,2
market,competitor_intelligence,14,has_photos,boolean,133,63,2
market,competitor_intelligence,15,phone,text,133,28,24
market,competitor_intelligence,16,email,text,133,14,11
market,competitor_intelligence,17,usp_tags,text[],133,133,59
market,competitor_intelligence,18,positioning_summary,text,133,59,59
market,competitor_intelligence,19,raw_intelligence,jsonb,133,133,64
market,competitor_intelligence,20,crawled_url,text,133,133,121
market,competitor_intelligence,21,crawl_status,text,133,133,1
market,competitor_intelligence,22,error_message,text,133,133,1
market,competitor_intelligence,23,scraped_at,timestamp with time zone,133,63,63
market,competitor_intelligence,24,created_at,timestamp with time zone,133,133,133
market,competitor_intelligence,25,updated_at,timestamp with time zone,133,133,133
market,competitor_pricing_snapshots_2026_05,1,id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_05,2,organization_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_05,3,competitor_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_05,4,room_type_label,text,0,0,0
market,competitor_pricing_snapshots_2026_05,5,price,"numeric(10,2)",0,0,0
market,competitor_pricing_snapshots_2026_05,6,scraped_at,timestamp with time zone,0,0,0
market,competitor_pricing_snapshots_2026_06,1,id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_06,2,organization_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_06,3,competitor_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_06,4,room_type_label,text,0,0,0
market,competitor_pricing_snapshots_2026_06,5,price,"numeric(10,2)",0,0,0
market,competitor_pricing_snapshots_2026_06,6,scraped_at,timestamp with time zone,0,0,0
market,competitor_pricing_snapshots_2026_07,1,id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_07,2,organization_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_07,3,competitor_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_07,4,room_type_label,text,0,0,0
market,competitor_pricing_snapshots_2026_07,5,price,"numeric(10,2)",0,0,0
market,competitor_pricing_snapshots_2026_07,6,scraped_at,timestamp with time zone,0,0,0
market,competitor_pricing_snapshots_2026_08,1,id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_08,2,organization_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_08,3,competitor_id,uuid,0,0,0
market,competitor_pricing_snapshots_2026_08,4,room_type_label,text,0,0,0
