table_schema,table_name,column_name,data_type,min_value,max_value,avg_value,negative_rows,zero_rows,looks_monetary
market,competitor_intelligence,amenity_score,integer,0,100,48.8095,0,14,false
market,competitor_intelligence,digital_maturity_score,integer,0,90,68.2540,0,1,false
market,competitor_intelligence,pricing_max,"numeric(10,2)",7000.00,180000.00,28955.4762,0,0,false
market,competitor_intelligence,pricing_min,"numeric(10,2)",2500.00,79020.00,15313.6190,0,0,false
market,competitor_pricing_snapshots_2026_05,price,"numeric(10,2)",null,null,null,0,0,true
market,competitor_pricing_snapshots_2026_06,price,"numeric(10,2)",null,null,null,0,0,true
market,competitor_pricing_snapshots_2026_07,price,"numeric(10,2)",null,null,null,0,0,true
market,competitor_pricing_snapshots_2026_08,price,"numeric(10,2)",null,null,null,0,0,true
market,competitor_properties,rating,"numeric(3,2)",1.70,5.00,4.1591,0,0,false
market,competitor_properties,review_count,integer,1,3752,202.8988,0,0,false
market,competitor_reviews,rating,"numeric(3,2)",null,null,null,0,0,false
market,competitor_room_types,current_price,"numeric(10,2)",7000.00,7000.00,7000.0000,0,0,true
market,competitor_room_types,occupancy,integer,null,null,null,0,0,false
market,localities,latitude,"numeric(10,6)",null,null,null,0,0,false
market,localities,longitude,"numeric(10,6)",null,null,null,0,0,false
market,locality_market_metrics,price_avg,"numeric(10,2)",null,null,null,0,0,true
market,locality_market_metrics,price_median,"numeric(10,2)",null,null,null,0,0,true
market,locality_market_metrics,price_p25,"numeric(10,2)",null,null,null,0,0,true
market,locality_market_metrics,price_p75,"numeric(10,2)",null,null,null,0,0,true
market,locality_market_metrics,property_count,integer,null,null,null,0,0,false
public,ai_logs,latency_ms,integer,74,186557,3018.4758,0,0,false
public,apartments,eb_sanctioned_load,numeric,0,0,0.0000,0,43,false
public,apartments,floor_number,integer,1,4,2.4048,0,0,false
public,apartments,property_tax_amount,numeric,0,5480,2449.9535,0,3,true
public,apartments,size_sqft,numeric,469,2030,985.5500,0,0,false
public,apartments,star_rating,integer,5,5,5.0000,0,0,false
public,apartments,water_tax_amount,numeric,0,2794,1287.3721,0,3,true
public,asset_depreciation,current_book_value,"numeric(10,2)",null,null,null,0,0,true
public,asset_depreciation,purchase_price,"numeric(10,2)",null,null,null,0,0,true
public,asset_depreciation,residual_value,"numeric(10,2)",null,null,null,0,0,false
public,asset_depreciation,useful_life_years,"numeric(5,2)",null,null,null,0,0,false
public,asset_depreciation,yearly_depreciation,"numeric(10,2)",null,null,null,0,0,false
public,asset_maintenance_logs,repair_cost,"numeric(10,2)",null,null,null,0,0,true
public,asset_payments,amount,"numeric(14,2)",null,null,null,0,0,true
public,asset_types,depreciation_years,"numeric(5,2)",1.00,10.00,7.2143,0,0,false
public,asset_types,expected_life_months,integer,12,120,85.6552,0,0,false
public,asset_types,maintenance_cycle_months,integer,6,24,17.3571,0,0,false
public,asset_types,replacement_cost_estimate,"numeric(10,2)",300.00,32000.00,5464.2857,0,0,true
public,assets,purchase_price,"numeric(10,2)",200.00,31500.00,5590.7622,0,0,true
public,assets,warranty_months,integer,12,12,12.0000,0,0,false
public,attendance_logs,bonus,"numeric(12,2)",null,null,null,0,0,false
public,attendance_logs,hours_worked,"numeric(5,2)",null,null,null,0,0,false
public,attendance_logs,late_minutes,integer,null,null,null,0,0,false
public,attendance_logs,overtime_hours,"numeric(5,2)",null,null,null,0,0,false
public,attendance_logs,total_deduction_percent,"numeric(5,2)",null,null,null,0,0,true
public,attendance_sync,hours_worked,numeric,0.15,14.2,7.2638,0,0,false
public,bed_rates,monthly_rate,"numeric(10,2)",11500.00,25500.00,18083.3333,0,0,false
public,bed_type_config,sort_order,integer,null,null,null,0,0,false
public,companies,bonus,"numeric(12,2)",null,null,null,0,0,false
public,companies,late_threshold_minutes,integer,null,null,null,0,0,false
public,companies,overtime_threshold_hours,"numeric(5,2)",null,null,null,0,0,false
public,companies,weekly_off_day,integer,null,null,null,0,0,false
public,deposit_settlements,damages,numeric,0,0,0.0000,0,307,false
public,deposit_settlements,deposit_amount,numeric,0,45000.00,22804.0521,0,3,true
public,deposit_settlements,other_deductions,numeric,0,4750.00,636.3355,0,221,true
public,deposit_settlements,pending_eb,numeric,0,2883,258.5831,0,244,false
public,deposit_settlements,pending_late_fees,numeric,0,0,0.0000,0,307,true
public,deposit_settlements,pending_rent,numeric,0,28212.00,5701.0818,0,116,true
public,deposit_settlements,refund_amount,numeric,0,45000,16566.6428,0,18,true
public,deposit_settlements,total_deductions,numeric,-7188,28500.00,6308.5280,3,113,true
public,eb_monitoring_readings,current_reading,numeric,5313.2,68658.3,38671.7800,0,0,true
public,eb_monitoring_readings,eb_amount,numeric,0,32568.75,13341.1471,0,2,true
public,eb_monitoring_readings,start_reading,numeric,4523.7,94639,40158.3857,0,0,false
public,eb_monitoring_readings,units_consumed,numeric,0,3225,1529.8571,0,2,false
public,eb_payments,bill_amount,numeric,334,27314,14723.1143,0,0,true
public,eb_rates,unit_cost,numeric,11,11.5,11.2500,0,0,true
public,eb_tenant_shares,per_day_rate,numeric,16,162,64.0787,0,0,false
public,eb_tenant_shares,tenant_eb_charge,numeric,94,4860,1837.8627,0,0,true
public,eb_tenant_shares,tenant_stay_days,integer,2,31,28.9263,0,0,false
public,eb_tenant_shares,total_apartment_bill,numeric,1188,19624,9901.4045,0,0,true
public,eb_tenant_shares,total_tenant_days,integer,28,253,155.0512,0,0,true
public,eb_tenant_shares,total_units,numeric,103.29999999999927,1706.4000000000015,860.9562,0,0,true
public,eb_tenant_shares,unit_cost,numeric,11.5,11.5,11.5000,0,0,true
public,electricity_readings,reading_end,"numeric(10,2)",0.00,96060.10,25935.6627,0,128,false
public,electricity_readings,reading_start,"numeric(10,2)",0.00,94638.90,25305.1677,0,140,false
public,electricity_readings,unit_cost,"numeric(10,2)",11.00,11.50,11.3423,0,0,true
public,electricity_readings,units_consumed,"numeric(10,2)",-24.00,9258.60,630.4968,1,146,false
public,electricity_shares,cost_share,"numeric(10,2)",null,null,null,0,0,true
public,electricity_shares,units_allocated,"numeric(10,2)",null,null,null,0,0,false
public,email_templates,version,integer,1,13,4.2500,0,0,false
public,employees,bonus,"numeric(12,2)",null,null,null,0,0,false
public,employees,salary_rate,"numeric(12,2)",null,null,null,0,0,true
public,employees_sync,salary_rate,numeric,7500,50000,21108.6957,0,0,true
public,enquiries,budget,numeric,null,null,null,0,0,false
public,expense_bed_allocations,allocated_amount,numeric,45.0,6500.0,765.7768,0,0,true
public,expense_categories,sort_order,integer,0,100,11.1111,0,8,false
public,expense_subcategories,sort_order,integer,1,99,11.8000,0,0,false
public,expenses,amount,numeric,20.0,13000.0,1388.3760,0,0,true
public,export_entity_registry,sort_order,integer,10,150,80.0000,0,0,false
public,financial_audit_log,total_credit,"numeric(14,2)",0.01,276534.00,18259.7552,0,0,true
public,financial_audit_log,total_debit,"numeric(14,2)",0.01,276534.00,18259.7552,0,0,true
public,gst_monthly_workings,month,integer,3,7,5.0000,0,0,false
public,gst_monthly_workings,year,integer,2026,2026,2026.0000,0,0,false
public,invoice_line_items,amount,numeric,31,32001,8373.3564,0,0,true
public,invoices,amount_paid,numeric,0,32000.00,6723.3239,0,3009,true
public,invoices,balance,numeric,0.00,34418,2350.1336,0,4426,true
public,invoices,electricity_amount,"numeric(10,2)",-402.00,5727.00,1245.9441,3,1096,true
public,invoices,estimated_eb,numeric,0,3038,26.8707,0,5110,false
public,invoices,late_fee,numeric,0,0,0.0000,0,5214,true
public,invoices,other_charges,"numeric(10,2)",0.00,32000.00,156.0826,0,4725,true
public,invoices,rent_amount,"numeric(10,2)",0.00,36257.00,12453.3314,0,701,true
public,invoices,total_amount,"numeric(10,2)",-402.00,36257.00,13886.8020,3,11,true
public,issue_sub_types,sort_order,integer,0,6,2.7059,0,1,false
public,issue_types,sla_hours,integer,4,24,13.8571,0,0,false
public,journal_lines,credit,"numeric(14,2)",0.00,248313.00,6408.5811,0,15099,true
public,journal_lines,debit,"numeric(14,2)",0.00,248313.00,6408.5811,0,18795,true
public,journal_lines,line_no,integer,1,6,1.7657,0,0,false
public,ledger_entries,amount,"numeric(12,2)",null,null,null,0,0,true
public,lifecycle_config,advance_ratio,numeric,null,null,null,0,0,false
public,lifecycle_config,booking_fee,numeric,null,null,null,0,0,true
public,lifecycle_config,exit_fee_under_1yr,numeric,null,null,null,0,0,true
public,lifecycle_config,gst_exemption_days,integer,null,null,null,0,0,false
public,lifecycle_config,gst_rcm_rate,"numeric(6,3)",null,null,null,0,0,false
public,lifecycle_config,gst_short_stay_rate,"numeric(6,3)",null,null,null,0,0,false
public,lifecycle_config,key_loss_fee,numeric,null,null,null,0,0,true
public,lifecycle_config,notice_period_days,integer,null,null,null,0,0,false
public,lifecycle_config,onboarding_fee,numeric,null,null,null,0,0,true
public,lifecycle_config,refund_deadline_days,integer,null,null,null,0,0,true
public,maintenance_item_stock_entries,purchase_cost_per_unit,numeric,19,10002500,813478.1277,0,0,true
public,maintenance_item_stock_entries,quantity_available,numeric,0,1,0.0213,0,46,false
public,maintenance_item_stock_entries,quantity_received,numeric,1,1,1.0000,0,0,false
public,maintenance_item_usage,cost_per_unit,numeric,28,10002500,980244.8205,0,0,true
public,maintenance_item_usage,quantity_used,numeric,1,1,1.0000,0,0,false
public,maintenance_item_usage,total_cost,numeric,28,10002500,980244.8205,0,0,true
public,maintenance_items,default_cost,numeric,0,6000,783.8710,0,8,true
public,maintenance_items,default_unit_cost,numeric,0,6000,780.1075,0,9,true
public,maintenance_items,minimum_stock_level,numeric,0,1,0.9140,0,8,false
public,maintenance_tickets,closure_cost,"numeric(14,2)",null,null,null,0,0,true
public,org_email_settings,imap_port,integer,993,993,993.0000,0,0,false
public,org_email_settings,pop3_port,integer,995,995,995.0000,0,0,false
public,org_email_settings,smtp_port,integer,465,465,465.0000,0,0,false
public,organizations,onboarding_step,integer,5,5,5.0000,0,0,false
public,organizations,ticket_auto_approve_threshold,numeric,1000,1000,1000.0000,0,0,false
public,organizations,ticket_repeat_check_days,integer,30,30,30.0000,0,0,false
public,owner_contracts,escalation_interval_months,integer,12,36,33.4286,0,0,false
public,owner_contracts,escalation_percentage,numeric,0,15,5.5172,0,1,false
public,owner_contracts,lock_in_months,integer,36,36,36.0000,0,0,false
public,owner_contracts,monthly_rent,numeric,0,71500,21442.8571,0,21,true
public,owner_contracts,payment_due_day,integer,5,9,6.2571,0,0,true
public,owner_contracts,property_tax_amount,numeric,0,0,0.0000,0,35,true
public,owner_contracts,renewal_periods,integer,0,36,11.3143,0,24,false
public,owner_contracts,revenue_share_percentage,numeric,null,null,null,0,0,false
public,owner_contracts,security_deposit,numeric,0,100000,25000.0000,0,3,true
public,owner_contracts,water_tax_amount,numeric,0,0,0.0000,0,35,true
public,owner_payments,base_amount,numeric,33000,71500,54550.7246,0,0,true
public,owner_payments,escalated_amount,numeric,33000,77175,55128.2609,0,0,true
