table_schema,table_name,column_name,data_type,total_rows,non_null_rows,min_value,max_value,distinct_days,distinct_months,rows_before_2019,rows_after_today
market,amenity_embeddings,updated_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,competitor_intelligence,created_at,timestamp with time zone,133,133,2026-05-14 04:19:05.333403+00,2026-05-22 20:42:03.218777+00,5,1,0,0
market,competitor_intelligence,scraped_at,timestamp with time zone,133,63,2026-05-14 06:14:24.445+00,2026-05-14 07:57:54.625+00,1,1,0,0
market,competitor_intelligence,updated_at,timestamp with time zone,133,133,2026-05-14 17:23:49.872+00,2026-05-22 21:25:03.222+00,7,1,0,0
market,competitor_pricing_snapshots_2026_05,scraped_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,competitor_pricing_snapshots_2026_06,scraped_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,competitor_pricing_snapshots_2026_07,scraped_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,competitor_pricing_snapshots_2026_08,scraped_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,competitor_properties,created_at,timestamp with time zone,257,257,2026-05-13 18:58:50.985503+00,2026-05-21 20:32:07.584305+00,9,1,0,0
market,competitor_properties,last_scraped_at,timestamp with time zone,257,257,2026-05-13 21:17:09.356+00,2026-05-22 20:33:57.445+00,10,1,0,0
market,competitor_properties,updated_at,timestamp with time zone,257,257,2026-05-13 21:17:09.464354+00,2026-05-22 20:33:57.556004+00,10,1,0,0
market,competitor_reviews,review_date,date,0,0,null,null,0,0,0,0
market,competitor_reviews,scraped_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,competitor_room_types,updated_at,timestamp with time zone,1,1,2026-05-22 20:33:23.121463+00,2026-05-22 20:33:23.121463+00,1,1,0,0
market,localities,created_at,timestamp with time zone,6,6,2026-05-13 17:40:56.768532+00,2026-05-14 09:25:22.882013+00,2,1,0,0
market,locality_market_metrics,calculated_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,org_tracked_localities,created_at,timestamp with time zone,5,5,2026-05-13 17:40:56.768532+00,2026-05-14 05:35:40.438741+00,2,1,0,0
market,property_embeddings,updated_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,review_embeddings,updated_at,timestamp with time zone,0,0,null,null,0,0,0,0
market,scrape_sources,created_at,timestamp with time zone,4,4,2026-05-13 17:21:14.10073+00,2026-05-13 18:58:50.281518+00,1,1,0,0
