table_schema,table_name,column_name,data_type,sensitivity,export_action,basis
market,competitor_intelligence,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
market,competitor_intelligence,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,apartments,eb_card_photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,asset_payments,bank_account_id,uuid,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,asset_payments,payment_proof_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,assets,product_photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,attendance_sync,employee_email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,bot_conversations,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,companies,gst_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,eb_monitoring_readings,meter_photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,eb_payments,bank_account_id,uuid,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,electricity_readings,meter_photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,email_templates,email_type,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,employees,aadhar_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,employees,bank_account_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,employees,bank_ifsc_code,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,employees,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,employees,face_descriptor,double precision[],SECRET_OR_BIOMETRIC,exclude,column-name pattern match; values never inspected
public,employees,first_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,employees,full_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,employees,last_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,employees_sync,aadhar_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,employees_sync,bank_account,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,employees_sync,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,employees_sync,first_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,employees_sync,ifsc_code,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,employees_sync,last_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,enquiries,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,expenses,bank_account_id,uuid,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,invoice_pdf_configs,account_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,invoice_pdf_configs,ifsc_code,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,invoice_pdf_configs,pan_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,invoice_pdf_configs,upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,maintenance_tickets,photo_urls,text[],IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,maintenance_tickets,tenant_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,offline_kyc_pending,access_token,text,SECRET_OR_BIOMETRIC,exclude,column-name pattern match; values never inspected
public,offline_kyc_pending,final_pdf_path,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,offline_kyc_pending,kyc_back_path,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,offline_kyc_pending,kyc_front_path,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,offline_kyc_pending,sent_to_email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,offline_kyc_pending,sent_to_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,org_branding_settings,contact_email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,org_branding_settings,contact_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,org_email_settings,from_email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,org_email_settings,smtp_pass_encrypted,text,SECRET_OR_BIOMETRIC,exclude,column-name pattern match; values never inspected
public,org_whatsapp_settings,test_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,organization_bank_accounts,account_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,organization_bank_accounts,ifsc_code,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,organization_bank_accounts,upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,organization_bank_accounts,upi_ids,text[],FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,organization_subscriptions,razorpay_customer_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,organization_subscriptions,razorpay_subscription_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,organizations,contact_email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,organizations,contact_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,organizations,gst_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,otp_codes,otp_code,text,SECRET_OR_BIOMETRIC,exclude,column-name pattern match; values never inspected
public,otp_codes,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,owner_payments,bank_account_id,uuid,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,owners,aadhar_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,owners,bank_account_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,owners,bank_ifsc,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,owners,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,owners,full_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,owners,gst_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,owners,id_proof_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,owners,pan_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,owners,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,owners,photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,payroll_sync,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,profiles,avatar_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,profiles,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,profiles,full_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,profiles,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,properties,photo_urls,text[],IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,receipts,bank_account_id,uuid,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,team_attendance,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,team_members,aadhar_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,team_members,bank_account_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,team_members,bank_ifsc,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,team_members,date_of_birth,date,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,team_members,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,team_members,emergency_contact_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,team_members,emergency_contact_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,team_members,first_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,team_members,id_proof_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,team_members,id_proof_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,team_members,last_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,team_members,pan_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,team_members,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,team_members,photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenant_allotments,kyc_back_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenant_allotments,kyc_front_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenant_exits,refund_proof_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenants,aadhar_image_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenants,aadhar_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,tenants,bank_account_holder,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,tenants,bank_account_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,tenants,bank_ifsc,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,tenants,date_of_birth,date,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,tenants,emergency_contact_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,emergency_contact_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,tenants,emergency_contact_relation,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,emergency_contact_relationship,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,first_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,full_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,gst_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,tenants,id_card_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenants,id_proof_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,tenants,id_proof_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenants,last_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,pan_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,tenants,permanent_address,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,tenants,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
