table_schema,table_name,ordinal_position,column_name,data_type,base_type_name,type_category,is_nullable,column_default,is_enum,is_array
market,amenities_master,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
market,amenities_master,2,canonical_name,text,text,S,false,null,false,false
market,amenities_master,3,aliases,text[],_text,A,false,'{}'::text[],false,true
market,amenities_master,4,category,text,text,S,true,null,false,false
market,amenity_embeddings,1,amenity_id,uuid,uuid,U,false,null,false,false
market,amenity_embeddings,2,embedding,vector(768),vector,U,false,null,false,false
market,amenity_embeddings,3,updated_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,competitor_intelligence,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
market,competitor_intelligence,2,organization_id,uuid,uuid,U,false,null,false,false
market,competitor_intelligence,3,competitor_id,uuid,uuid,U,false,null,false,false
market,competitor_intelligence,4,pricing_min,"numeric(10,2)",numeric,N,true,null,false,false
market,competitor_intelligence,5,pricing_max,"numeric(10,2)",numeric,N,true,null,false,false
market,competitor_intelligence,6,room_types,jsonb,jsonb,U,false,'[]'::jsonb,false,false
market,competitor_intelligence,7,amenities,text[],_text,A,false,'{}'::text[],false,true
market,competitor_intelligence,8,amenity_score,integer,int4,N,true,null,false,false
market,competitor_intelligence,9,market_segment,text,text,S,true,null,false,false
market,competitor_intelligence,10,target_demographic,text,text,S,true,null,false,false
market,competitor_intelligence,11,digital_maturity_score,integer,int4,N,true,null,false,false
market,competitor_intelligence,12,has_online_booking,boolean,bool,B,true,null,false,false
market,competitor_intelligence,13,has_virtual_tour,boolean,bool,B,true,null,false,false
market,competitor_intelligence,14,has_photos,boolean,bool,B,true,null,false,false
market,competitor_intelligence,15,phone,text,text,S,true,null,false,false
market,competitor_intelligence,16,email,text,text,S,true,null,false,false
market,competitor_intelligence,17,usp_tags,text[],_text,A,false,'{}'::text[],false,true
market,competitor_intelligence,18,positioning_summary,text,text,S,true,null,false,false
market,competitor_intelligence,19,raw_intelligence,jsonb,jsonb,U,false,'{}'::jsonb,false,false
market,competitor_intelligence,20,crawled_url,text,text,S,true,null,false,false
market,competitor_intelligence,21,crawl_status,text,text,S,false,'pending'::text,false,false
market,competitor_intelligence,22,error_message,text,text,S,true,null,false,false
market,competitor_intelligence,23,scraped_at,timestamp with time zone,timestamptz,D,true,null,false,false
market,competitor_intelligence,24,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
