month,total_expenses,sum_of_buckets,unbucketed,electricity_column
2019-11-01,0,0,0,0
2021-12-01,0,0,0,0
2022-02-01,0,0,0,0
2022-02-01,0,0,0,0
2022-04-01,0,0,0,0
2022-08-01,0,0,0,0
2022-09-01,0,0,0,0
2022-10-01,0,0,0,0
2022-11-01,61000,61000,0,0
2022-12-01,129000,129000,0,0
2023-01-01,129000,129000,0,0
2023-02-01,129000,129000,0,0
2023-03-01,153850,153850,0,0
2023-04-01,140500,140500,0,0
2023-05-01,244000,244000,0,0
2023-06-01,240500,240500,0,0
2023-07-01,238700,238700,0,0
2023-08-01,278900,278900,0,0
2023-08-01,0,0,0,0
2023-09-01,235000,235000,0,0
2023-10-01,233570,233570,0,0
2023-11-01,303000,303000,0,0
2023-12-01,303000,303000,0,0
2024-01-01,305031,305031,0,0
2024-02-01,303494,303494,0,0
2024-03-01,324000,324000,0,0
2024-04-01,315000,315000,0,0
2024-05-01,303000,303000,0,0
2024-06-01,303000,303000,0,0
2024-07-01,303000,303000,0,0
2024-08-01,331376,331376,0,0
2024-09-01,343320,343320,0,0
2024-10-01,449570,449570,0,0
2024-11-01,481850,481850,0,0
2024-12-01,478230,478230,0,0
2025-01-01,480150,480150,0,0
2025-02-01,488270,488270,0,0
2025-03-01,488256,488256,0,0
2025-04-01,513445,513445,0,0
2025-05-01,553178,553178,0,0
2025-06-01,493330,493330,0,0
2025-07-01,515418,515418,0,0
2025-08-01,528158,528158,0,0
2025-09-01,739630,739630,0,0
2025-10-01,737550,737550,0,0
2025-11-01,713225,713225,0,0
2025-12-01,704476,704476,0,0
2026-01-01,701606,701606,0,0
2026-02-01,734972,734972,0,0
2026-03-01,762021,762021,0,0
2026-03-01,2420,2420,0,0
2026-04-01,720345,720345,0,0
2026-05-01,1189589,699428,490161,490161
2026-06-01,696438,696438,0,0
2026-07-01,1258660,718203,540457,540457
2026-08-01,703804,703804,0,0
2026-09-01,0,0,0,0
