pair,value,rows
financial_audit_log.source_table,invoices,10992
financial_audit_log.source_table,receipts,4495
financial_audit_log.source_table,manual,2315
financial_audit_log.source_table,owner_payments,2264
financial_audit_log.source_table,tenant_transactions,1015
financial_audit_log.source_table,expenses,970
financial_audit_log.source_table,deposit_settlements,473
financial_audit_log.source_table,assets,287
financial_audit_log.source_table,tenant_adjustments,251
financial_audit_log.source_table,eb_payments,70
invoices.reference_type,null,5049
invoices.reference_type,onboarding,97
invoices.reference_type,room_switch,41
invoices.reference_type,exit_charge,16
invoices.reference_type,exit_estimated_eb,11
journal_entries.source_table,receipts,6085
journal_entries.source_table,invoices,5558
journal_entries.source_table,manual,647
journal_entries.source_table,expenses,516
journal_entries.source_table,owner_payments,410
journal_entries.source_table,deposit_settlements,376
journal_entries.source_table,tenant_adjustments,287
journal_entries.source_table,assets,287
journal_entries.source_table,eb_payments,70
tenant_adjustments.reference_type,null,251
tenant_adjustments.reference_type,exit_excess_clearance,8
tenant_adjustments.reference_type,onboarding,4
tenant_adjustments.reference_type,room_switch,3
tenant_transactions.reference_table,receipts,7188
tenant_transactions.reference_table,invoices,6031
tenant_transactions.reference_table,tenant_allotments,3028
tenant_transactions.reference_table,tenant_adjustments,150
tenant_transactions.reference_table,deposit_settlements,54
