ledger_type,direction,category,reference_table,rows,sum_amount,min_date,max_date,distinct_allotments
PAYMENT,CREDIT,PAYMENT,receipts,7188,104745183,0206-03-27,2026-05-05,987
CHARGE,DEBIT,INVOICE,invoices,5958,90772965,2023-04-01,2026-05-01,939
DEPOSIT,CREDIT,DEPOSIT_RECEIVED,tenant_allotments,1000,22969400,2019-11-03,2026-04-28,1000
CHARGE,DEBIT,DEPOSIT_TRANSFER,tenant_allotments,1000,22967885,2019-11-03,2026-04-28,1000
CHARGE,DEBIT,OTHER_CHARGE,tenant_allotments,994,994000,2020-01-14,2026-04-28,994
PAYMENT,CREDIT,CREDIT_NOTE,tenant_adjustments,80,276493,2021-12-17,2026-04-16,61
CHARGE,DEBIT,EXIT_CHARGE,invoices,61,137250,2023-04-01,2026-04-01,61
CHARGE,DEBIT,DEBIT_NOTE,tenant_adjustments,57,136528,2022-12-27,2026-04-22,39
DEPOSIT,DEBIT,DEPOSIT_REFUND,deposit_settlements,24,394929,2023-09-05,2026-04-28,24
DEPOSIT,CREDIT,DEPOSIT_TRANSFER,tenant_allotments,17,372150,2023-07-30,2026-01-11,15
DEPOSIT,DEBIT,DEPOSIT_TRANSFER,tenant_allotments,17,372150,2023-07-30,2026-01-11,17
PAYMENT,CREDIT,PAYMENT,deposit_settlements,15,114871,2024-04-27,2026-04-18,15
DEPOSIT,DEBIT,DEPOSIT_UTILIZED,deposit_settlements,15,114871,2024-04-27,2026-04-18,15
CHARGE,DEBIT,CC_CHARGES,tenant_adjustments,11,5813,2024-02-07,2026-05-01,9
DEPOSIT,CREDIT,DEPOSIT_RECEIVED,invoices,6,92000,2025-10-07,2026-03-26,6
CHARGE,DEBIT,DEPOSIT_TRANSFER,invoices,6,92000,2025-10-07,2026-03-26,6
PAYMENT,CREDIT,CC_CHARGES,tenant_adjustments,2,1871,2025-04-01,2025-12-01,2
