allotment_id,allotment_balance_due,tenant_transactions_balance,journal_ar_incl_reversals,journal_ar_excl_reversals
29309a70-09a1-4c35-b877-ca27b04ec436,0.00,-33292.87,-52801.15,-52801.15
14ec7431-95a9-40c9-b35f-afa87c3bd8fc,33641.00,null,0.00,null
20d5e9a6-73cd-4f5f-9b27-ba9a13e7864e,27930.00,0.00,0.00,0.00
86f462a2-856c-4214-90c9-478d801f7838,26582.00,2250.00,0.00,0.00
3e77d5cd-7102-4a50-a5a1-f77aced5ebb8,22653.00,null,0.00,0.00
9353da56-208c-4158-959f-29d5aee289f3,20692.00,20692.00,-1058.00,-1058.00
8a561990-e50b-4b93-b48e-7ee8bf0fbc67,26876.00,26876.00,5126.00,5126.00
78f157e9-bdd7-480f-9648-2b00b519de3c,0.00,-21750.00,-21750.00,-21750.00
ed381183-4ca6-4302-84bc-e1e05958ed09,20850.00,0.00,0.00,0.00
f312b2ae-7f10-492c-9287-54120aec2b40,20490.00,0.00,0.00,0.00
6d852880-001e-41ee-b447-e94c58384795,20086.00,0.00,0.00,0.00
d2cd92f7-dd23-41a8-a665-1d8e656732e6,19620.00,0.00,0.00,0.00
e365af46-795b-4530-ae58-60e0e516d232,19500.00,null,0.00,0.00
dad1b29f-8aff-47de-904a-221021ab7353,19500.00,null,0.00,0.00
56e6630d-239f-4544-99e4-87ae533ed05a,19476.00,-1000.00,0.00,0.00
3aabe842-7390-4208-9bde-936af6f8b658,18938.00,0.00,0.00,0.00
8cada743-d341-4211-b2f2-094d551e9ef3,20517.00,-18373.00,2144.00,2144.00
d6b9850d-fe17-4c67-b36f-05e0bc58188b,18324.00,null,0.00,0.00
288569c1-8892-451c-ae1f-6ccf0c41daa4,0.00,0.00,-18077.00,-18077.00
9af60a9e-6b26-4092-a74d-63db07835fca,17750.00,null,0.00,0.00
0da14d53-61b8-4b58-b20e-46f13ee71f42,17750.00,0.00,0.00,0.00
4b303935-cf4d-4555-a274-6c5947063ef3,16943.00,0.00,0.00,0.00
aabe391a-b8fc-4f8b-9b7c-414468bc4d54,16840.00,null,0.00,0.00
e6357f5c-05c6-4829-9508-d39b4be473cf,16520.00,null,0.00,0.00
8872ba1f-ebbe-4b26-b0c9-a5b330c229f7,16146.00,null,0.00,0.00
452510c9-42bd-481f-b8df-4cfcdf59bb2f,16080.00,1000.00,0.00,0.00
f775eabb-5fcf-4725-8ffa-808159d48485,15690.00,6145.00,0.00,0.00
047e4ff5-1a8d-4524-801a-60c70f28caf8,15650.00,null,0.00,0.00
f45d9f5f-f04f-4a35-88cd-5579e5341445,15500.00,null,0.00,0.00
323a69fe-46d3-4b0d-b2ea-a768741e7f3e,15500.00,null,0.00,0.00
86bbf62d-82b7-4d2d-85bc-ff008b7dc293,15000.00,null,0.00,0.00
2a75ba7a-e5ca-4409-ae0f-8efe8993c4ea,14605.00,0.00,0.00,0.00
5d25f43a-c0a9-4111-b201-e334553b2899,14574.00,null,0.00,0.00
2fc943d9-a0cd-49f1-95bf-dd2e5aa0bf3d,14500.00,null,null,null
c27e2530-59cb-4fcf-9950-ddbc7703f3ee,14500.00,null,0.00,0.00
daa4363b-15ef-406b-adb8-5451eb652e2d,0.00,-11969.00,-13969.00,-13969.00
b158eb96-519d-492e-9c1c-6a34701ba7e6,0.00,null,-13500.00,-13500.00
2df3f295-89b0-4f4b-a539-ea4fcd1c8df3,13355.00,null,0.00,null
9ffe9701-32ac-461a-b5a1-8bb653d34a4b,13199.00,100.00,0.00,0.00
7e0d9e6f-f4ea-425d-9869-e4649eabffab,0.00,null,-13065.00,-13065.00
d0b11ad6-7841-48cf-82cb-55e373063fac,13000.00,0.00,0.00,0.00
052eaacd-614f-4cac-8bee-618b1549c36d,1.00,null,11999.00,11999.00
ddc84784-c683-4996-b4e4-d17137b9a82d,6728.00,null,-5126.00,-5126.00
5a78509d-339f-4045-a024-d2fe14b0f8b6,11054.45,null,0.00,0.00
fafe913c-97b3-41f6-b828-d278cd6b473d,10837.00,0.00,0.00,0.00
fd43045b-00f1-45a8-9961-b318b8081c9f,10500.00,null,0.00,0.00
2cbbaf40-cfba-4ec9-93dd-f9cab8685a47,0.00,null,9920.00,9920.00
f28f5c69-2c4a-4fee-ac51-5e0607c7ecc4,0.00,null,9759.00,9759.00
6a5f9ba5-2140-430d-899f-6de542663df3,0.00,null,-9493.00,-9493.00
edccd11e-94f9-462f-b112-ac7a25e14c27,0.00,null,-9429.00,-9429.00
9d8d4a1e-75b6-41fa-9add-21e6b87958b7,9195.00,null,0.00,0.00
31a1c073-bb44-4019-8548-0c5a8114de7b,15540.00,0.00,6584.00,6584.00
a592d732-fe7f-4bfa-841d-7433e477f43e,8573.00,0.00,0.00,0.00
014f81be-2724-4302-8681-1c89fa734cce,8259.02,17577.03,0.00,0.00
3359585a-5168-44d0-8c31-fe926dcaa27e,7655.00,null,0.00,0.00
45f06c81-d7ff-4111-a873-a9531d7c18b2,0.00,null,-7500.00,-7500.00
d90be848-529b-49b3-ad05-997993e57c0a,2250.00,null,9750.00,9750.00
c5047a0f-6374-4758-87f4-9afa4ef861b8,7477.00,null,0.00,0.00
da786425-8bf1-4da0-b417-6371476a7bfe,7477.00,null,0.00,0.00
05a7138b-3291-401c-b2bf-28981d85d111,6598.32,755.32,0.00,0.00
6ca3eea4-73dc-4e3e-809a-bc43ca4d4e08,0.00,null,6573.00,6573.00
a6a2c8c9-399e-49c5-bc51-3f362c903208,0.00,null,-6573.00,-6573.00
1a8854ae-648e-4d46-afb7-3ddbf102976d,6500.00,null,0.00,0.00
deef0c83-4c8c-46e7-bbae-139905f81a3c,10247.00,null,16045.00,16045.00
6b62e693-85c9-473d-a3a5-e0329b7dba62,0.00,null,-5798.00,-5798.00
a6efc369-3910-43e4-b870-b5daf647ecd8,0.00,null,5579.00,5579.00
4c47b9e1-78f5-473f-99e9-31c4da4f0f0d,0.00,null,-5579.00,-5579.00
4423cb72-755e-42c0-8b73-0855bef4f660,5133.00,null,0.00,0.00
63c00eb8-28c7-4176-a247-574b0ca40a4c,0.00,null,-4788.00,-4788.00
cd9ca88a-0864-48e3-b8e7-296f64e06185,0.00,null,-4788.00,-4788.00
56b0ee82-1177-443e-8a50-b939786d1aad,4606.00,0.00,0.00,0.00
4eb2b3b6-d5de-4190-81ab-e563885218a3,4296.00,null,0.00,0.00
fea05c11-59c1-4026-b397-4565e58eca15,4296.00,null,0.00,0.00
0299869f-22a5-4429-95e8-27424b5d4291,4269.00,0.00,0.00,0.00
8db9e51a-5204-4143-a5a0-086b8cd03403,4229.00,0.00,0.00,0.00
e1603fed-7593-4717-b5a0-f63c1e03483e,0.00,null,4210.00,4210.00
ed99994f-80a9-48cc-afab-45db09c246e1,0.00,0.00,-4210.00,-4210.00
16ba7f9b-b61c-4fb6-a957-8fdf8bf58876,5239.00,-126.00,1125.00,1125.00
af516c5e-d805-42d6-b74d-de67dc41d376,3810.00,null,0.00,0.00
e02f5ad1-ec73-468d-8cb6-27d54cb62b81,0.00,null,3640.00,3640.00
af77c84c-c34c-43ff-a61d-62b390f12d3f,0.00,null,3640.00,3640.00
3394785d-ad9b-442e-9c87-3ab4f47b1876,0.00,0.00,3534.00,3534.00
feeb7a13-1e0e-4b17-9b0a-a9c7fa648c23,0.00,null,3388.00,3388.00
ca1e5c59-fbe8-4786-b241-43233c852dc1,0.00,null,3238.00,3238.00
d507ffac-5fb5-480b-b385-262ca3ff3224,0.00,null,-3238.00,-3238.00
91e9c4a4-cf9f-4ea2-bbce-8ca8d01150ff,476.00,0.00,3576.00,3576.00
3aaba622-f423-48be-b5c5-5516fd1498a3,0.00,0.00,2360.00,2360.00
74d85a8c-cf99-492c-8656-d7bb8666ae7c,0.00,null,-2360.00,-2360.00
d5a55ceb-f139-4b56-a3ff-5b9dc493a76d,0.00,null,-2346.00,-2346.00
30d902fd-ac49-49ee-9adc-50287807f836,0.00,null,-2300.00,-2300.00
ac6b528f-3e64-4f40-a65a-a073b663edd0,2259.00,0.00,0.00,0.00
6f08860a-522c-400d-b39a-2c974ff6f3cf,0.00,null,-2168.00,-2168.00
d06e259b-0f3f-4c09-bc77-00ec39ab5924,0.00,-8413.00,2124.00,2124.00
da5e646c-ad64-4c61-a484-163e722c0791,0.00,-2124.00,-2124.00,-2124.00
f848c7a4-dbda-4fab-8678-376064453b2f,0.00,-2000.00,-2000.00,-2000.00
cdbd0a31-d685-4189-af7e-25c08d80399b,0.00,0.00,1984.00,1984.00
a089c1bf-e6c1-4700-b4bd-52304e5c006f,0.00,0.00,1984.00,1984.00
e053e915-af46-443c-ae72-9afc7fde4294,1955.00,0.00,0.00,0.00
89e38df1-f4a2-4e81-9bff-b1f27d37faeb,0.00,-1630.00,-1630.00,-1630.00
f56bff0c-85b6-4ece-9597-a0712f4e6908,1618.88,-392.00,0.00,0.00
4f2cdcfa-282c-461d-84f8-aefe0567d4f0,1595.00,null,0.00,0.00
de3fc75a-dc8c-4bfb-b959-494a94a5d287,0.00,-310.00,-1310.00,-1310.00
53e90bf9-8b82-4fc9-ac46-406163bf802d,0.00,null,1058.00,1058.00
d7709bd6-1161-44ae-9f91-65c23c49cd71,1000.00,1000.00,0.00,0.00
9a5c2a4d-3f8a-401f-b8aa-d0410e196176,0.00,null,-1000.00,-1000.00
dcb00194-e35e-4017-87a5-7a1ce16e1022,1000.00,0.00,0.00,0.00
a7aee36f-3d41-45fa-b6f5-99d3affc290c,0.00,null,-1000.00,-1000.00
70452c2a-f59d-452c-8eae-71979521ff54,0.00,null,967.00,967.00
69341b56-d4c0-4a38-b844-4f3ad2d6221a,0.00,null,956.00,956.00
bbdf0229-85be-4048-ad84-553cde28b461,0.00,null,805.00,805.00
72d8dd8f-6a7e-4de5-a46c-ed0f808c288f,750.00,750.00,0.00,0.00
1b8d196c-a429-4d7f-823b-82a43769d60d,0.00,-750.00,-750.00,-750.00
f70dca28-1fc9-495a-aa3b-8966f09e7f57,0.00,null,-743.00,-743.00
592a7c03-06e9-4111-b881-3d5ee4a5cfd8,0.00,null,-616.00,-616.00
32d53862-5d4f-46ee-a5d3-3372c75389c1,0.00,null,609.00,609.00
481d5ba9-f2ad-47b5-85a8-606cab8e96c1,0.00,null,-609.00,-609.00
d700c1e9-4564-4c4d-a800-2b6d68e962f7,0.00,0.00,-400.00,-400.00
4e78638f-65ec-472b-9991-cea4565d4ea7,391.88,391.88,0.00,0.00
3cabe0f9-bb7f-492b-b069-bfa191e91033,0.00,null,-386.00,-386.00
5c326c75-6587-41cb-a153-ab42deb95efc,0.00,null,386.00,386.00
3307b426-235b-4385-ad78-af773e1b6ce6,0.00,null,-373.00,-373.00
10d5e601-b052-4ea6-95c3-6f3df1f0d8cc,2.00,null,-356.00,-356.00
349077f2-398a-4e69-9dd0-86494973ad4d,0.00,null,-354.00,-354.00
28420725-90ac-4266-842b-9b183a97b3ff,0.00,null,-300.00,-300.00
44af6e31-36ec-4fca-846f-d7b1dd70b150,0.00,null,-289.00,-289.00
d0e05b52-a5c4-4085-a2d8-ce3ef7c5c49d,14533.00,null,14267.00,14267.00
e539d7d2-d820-4b38-91a1-a6971b11b072,0.00,null,-265.00,-265.00
eeb747fd-a4c0-4097-a86f-55f604dadabe,0.00,null,133.00,133.00
99eb3f32-d53e-4470-ab2a-09ed6e9b3872,0.00,0.00,130.00,130.00
1d8b2085-b87b-4a65-a8c6-ee6b287ba381,0.00,null,130.00,130.00
53bd63b6-67b1-4de6-94a4-66b940e4e20a,0.00,0.00,10.00,10.00
bdc2c4ae-b9b2-4aa7-b8bd-01fdd0145e27,0.00,-8000.00,-3.00,-3.00
f08f0b98-4740-41e3-9fb3-cdc9d4e943cc,1.00,null,0.00,0.00
bcffd7fb-53a0-457f-9d14-6d9ef2bbf48b,0.00,null,-1.00,-1.00
2c97d0a2-8c5a-49ab-a12c-e9aeaa347808,1.00,null,0.00,0.00
cb8517a4-2c13-42bf-b7c0-95130bfd7275,1.00,null,0.00,0.00
9494194d-43c9-47ad-8402-0c22cde7b00f,1.00,null,0.00,0.00
403fd948-6055-496f-bf65-b5f1c7f8ab55,1.00,null,0.00,0.00
81960dab-ecf9-49d3-af4d-cae4502c1e9e,1.00,null,0.00,0.00
66d111c1-cc43-45d5-a2c0-be03b4449aeb,1.00,null,0.00,0.00
9c588654-a04c-4dad-9514-9aff226de468,0.74,-0.26,0.00,0.00
6a566076-355d-47b3-840f-1ddcb740c496,0.43,-999.57,0.00,0.00
62887698-aebf-475f-9c98-0a212110dd24,0.06,0.06,0.00,0.00
77b097a8-e856-4264-a152-5fc4d84e06a0,0.00,13379.00,0.00,0.00
2b6cd2fd-4e9f-41ef-b220-9e5f57afda26,0.00,19125.00,0.00,null
17064150-b244-4d6d-a375-bdb235815080,0.00,22750.00,0.00,0.00
fc73107e-4511-4bb3-af12-aa7c3d874773,0.00,-574.00,0.00,0.00
d777fad1-3294-45a8-9b9f-a4db1dc1787b,0.00,22240.00,0.00,0.00
abdf3e08-0e7d-4e9d-939e-2f4b77206a4a,0.00,20716.00,0.00,0.00
8419d24a-5624-4735-bd3c-af55612a12f8,0.00,6980.00,0.00,0.00
41399a68-74d6-4f82-8fd2-c3db8290ccfc,0.00,24000.00,0.00,0.00
daf26ce0-60d0-49e1-ab9d-f4d2f44a1f9b,0.00,40500.00,0.00,0.00
e195680c-5ff9-464e-8228-089b76f4ea72,0.00,-16200.00,0.00,0.00
6c5f154c-ab3a-4495-a310-c207510ca983,0.00,31500.00,0.00,0.00
537d7700-2397-448d-a0b5-3579e13e2964,468.00,null,468.00,468.00
c1c258d3-0750-49fb-8d6a-a5a84de41974,2000.00,2000.00,2000.00,2000.00
f6d9b4ed-d1e3-4963-bbdd-fb87e50d1313,0.00,-584.00,0.00,0.00
f48bcd4d-b81e-4a57-a0f3-09dfa5e2e00f,0.00,629.00,0.00,0.00
0d1e4741-28d6-485f-9142-a15e4ff5c364,0.00,5802.00,0.00,0.00
3c9eac87-dd0b-49f5-ba27-aae22a7cf629,0.00,19137.00,0.00,0.00
dd4843b8-b558-4f1f-898a-c8a764539497,0.00,641.00,0.00,0.00
f2d9195b-c864-4a69-a8a5-cacea5959a3b,0.00,-546.00,0.00,0.00
08b359b3-caad-4e09-a957-8866ca7dba42,0.00,-1200.00,0.00,0.00
a55b21c2-e0cb-4c70-84fc-8a05ff0867a8,0.00,11250.00,0.00,0.00
d4864d31-0010-44b0-9978-a5492eed1380,0.00,9067.00,0.00,0.00
90df3267-4239-48a4-89aa-4a61e24239bc,0.00,0.16,0.00,0.00
9c7a215e-253b-493c-ab79-4d656c88fd38,0.00,-2728.00,0.00,0.00
811c8d66-7a3f-457b-9dcc-4f53c8671fe1,0.00,18860.00,0.00,0.00
347e8b01-eb88-45d8-a580-571e195ca777,0.00,2250.00,0.00,0.00
66a2f50b-1a02-4134-99e1-3c38dffad558,0.00,28723.00,0.00,0.00
4364ae28-1999-46c4-86a4-3d9565069abf,0.00,-4465.00,0.00,0.00
025b834b-6af6-47c5-9e91-8ad4dd4f36c3,0.00,7080.00,0.00,0.00
d0d2708b-039b-4380-93ca-a0076ae20eb5,0.00,31500.00,0.00,0.00
e49d5b4d-fd58-4f0c-a779-2ef25bd8eeac,0.00,-2839.78,0.00,0.00
65f64e54-dd00-471f-befe-cd9a90c8f991,0.00,1514.00,0.00,0.00
00843cbc-9d3a-4994-be37-d7ab686c85d3,0.00,25500.00,0.00,0.00
ae96d118-0440-4762-bcd4-9ab8177a9d04,0.00,18135.00,0.00,0.00
7c23b4a5-63fa-47d1-8211-a565f6ed8ee9,1630.00,1630.00,1630.00,1630.00
d80df6b4-00fb-4bdb-b51d-1cc96fe68405,0.00,22870.00,0.00,0.00
4507404f-8056-48af-bccf-9df703e7d029,0.00,6946.00,0.00,0.00
c029ada8-f2e8-4017-816f-39ed5259c0e1,0.00,-900.00,0.00,0.00
954a76d4-6294-4fd9-9c87-30457c524da9,0.00,22495.00,0.00,0.00
10f786c8-3837-4bf5-9d96-10b34c9cfbb6,0.00,2433.32,0.00,0.00
a57a8308-4dac-4c6d-a841-21d5ba2de228,0.00,4940.00,0.00,0.00
8c96bbeb-234f-4c4e-b3f0-dea0ea5a1cac,0.00,-2540.00,0.00,0.00
b617d658-932d-4a8c-8eda-94e28f4bbdc7,798.00,-202.00,798.00,798.00
59864420-62d6-4d3b-9b98-6872f9821633,0.00,16167.00,0.00,0.00
ab42acef-df0d-4f2b-9def-a961cdf6c003,0.00,3250.00,0.00,0.00
6eae3c53-9212-4814-b991-b284ea8da158,1000.00,0.00,1000.00,1000.00
e5d8f9b9-9f3a-44a2-9d25-5b56c81d9ee7,0.00,-1050.00,0.00,0.00
2de6ee53-a917-4a9b-962f-37e5d429949a,0.00,7910.00,0.00,0.00
d3acdb39-30e5-4ffe-8b9c-f4326c93be87,0.00,25000.00,0.00,0.00
a47ad7ef-bedd-401f-989d-7d3b2af250c6,0.00,2250.00,0.00,0.00
5e06feb5-626b-4ffe-a13c-86bb5e349dfe,0.00,17917.00,0.00,0.00
c95071e6-baac-4c03-9ee4-82e18f461a3c,0.00,2229.00,0.00,0.00
960e9375-979e-48a5-8bf7-1f5e4f821d99,0.00,13807.00,0.00,0.00
02ca5efe-e730-44ed-8213-fb622197978a,0.00,-4251.00,0.00,0.00
4e99e268-4ae1-4512-ab86-632155c082f6,0.00,40859.00,0.00,0.00
d3c75e3f-ebcf-4bd2-ba3f-80eb52ac9ee6,0.00,24040.00,0.00,0.00
f6956ad7-5d64-4b0c-99f0-998589504d34,0.00,2250.00,0.00,0.00
