month,pnl_owner_rent,owner_payments_amount,difference,pnl_net_profit,profit_if_owner_rent_excluded
2019-11-01,0,null,0,1000,1000
2021-12-01,0,null,0,-26000,-26000
2022-02-01,0,null,0,-1515,-1515
2022-04-01,0,null,0,1000,1000
2022-08-01,0,null,0,0,0
2022-09-01,0,null,0,-13000,-13000
2022-10-01,0,null,0,0,0
2022-11-01,61000,61000,0,-95500,-34500
2022-12-01,129000,129000,0,-152300,-23300
2023-01-01,129000,129000,0,-129000,0
2023-02-01,129000,129000,0,-126900,2100
2023-03-01,129000,129000,0,106732,235732
2023-04-01,129000,129000,0,243840,372840
2023-05-01,233000,233000,0,178716,411716
2023-06-01,233000,233000,0,188691,421691
2023-07-01,233000,233000,0,172310,405310
2023-08-01,233000,233000,0,169241,402241
2023-09-01,233000,233000,0,195289,428289
2023-10-01,233000,233000,0,260394,493394
2023-11-01,303000,303000,0,215603,518603
2023-12-01,303000,303000,0,233555,536555
2024-01-01,303000,303000,0,259542,562542
2024-02-01,303000,303000,0,405765,708765
2024-03-01,303000,303000,0,491577,794577
2024-04-01,303000,303000,0,669882,972882
2024-05-01,303000,303000,0,755515,1058515
2024-06-01,303000,303000,0,812718,1115718
2024-07-01,303000,303000,0,821765,1124765
2024-08-01,303000,303000,0,965407,1268407
2024-09-01,336000,336000,0,1054800,1390800
2024-10-01,436000,436000,0,986861,1422861
2024-11-01,474500,474500,0,1004268,1478768
2024-12-01,474500,474500,0,1057128,1531628
2025-01-01,474500,474500,0,1243082,1717582
2025-02-01,474500,474500,0,1568037,2042537
2025-03-01,474500,509500,-35000,1753928,2263428
2025-04-01,474500,474500,0,1910267,2384767
2025-05-01,478000,478000,0,2096810,2574810
2025-06-01,478000,478000,0,2347563,2825563
2025-07-01,478000,478000,0,2236984,2714984
2025-08-01,478000,478000,0,2435489,2913489
2025-09-01,686000,686000,0,2352766,3038766
2025-10-01,691000,691000,0,2160409,2851409
2025-11-01,697725,730725,-33000,2047164,2777889
2025-12-01,697725,662725,35000,1866041,2528766
2026-01-01,697725,697725,0,1837943,2535668
2026-02-01,697725,697725,0,1985653,2683378
2026-03-01,697725,664725,33000,2009617,2674342
2026-04-01,697725,645725,52000,2170265,2815990
2026-05-01,697725,697725,0,1964239,2661964
2026-06-01,697725,697725,0,2604292,3302017
2026-07-01,697725,477175,220550,2077455,2554630
2026-08-01,697725,970275,-272550,2540874,3511149
2026-09-01,0,null,0,4500,4500
