invoice_number,invoice_date,billing_month,invoice_type,status,rent_amount,electricity_amount,estimated_eb,other_charges,late_fee,total_amount,amount_paid,balance,drift,reference_type,is_deleted
VISTA/26-27/09/00002,2026-09-20,2026-09,exit_charge,pending,0.00,0.00,0,2250.00,0,2250.00,0,2250,0.00,exit_charge,false
VISTA/26-27/09/00001,2026-09-06,2026-09,exit_charge,pending,0.00,0.00,0,2250.00,0,2250.00,0,2250,0.00,exit_charge,false
VISTA/26-27/08/00203,2026-08-31,2026-08,regular,paid,468.00,0.00,0,0.00,0,468.00,468,0,0.00,onboarding,false
null,2026-08-26,2026-08,regular,pending,0.00,1087.00,0,0.00,0,1087.00,0,1087,0.00,room_switch,false
null,2026-08-26,2026-08,regular,pending,388.00,0.00,0,0.00,0,388.00,0,388,0.00,room_switch,false
null,2026-08-26,2026-08,additional_deposit,pending,0.00,0.00,0,0.00,0,3000.00,0,3000,0.00,room_switch,false
VISTA/26-27/08/00202,2026-08-26,2026-08,regular,paid,3000.00,0.00,0,0.00,0,3000.00,3000,0,0.00,onboarding,false
VISTA/26-27/08/00187,2026-08-25,2026-08,regular,paid,7904.00,0.00,0,0.00,0,7904.00,7904,0,0.00,onboarding,false
VISTA/26-27/08/00191,2026-08-23,2026-08,regular,paid,9000.00,0.00,0,0.00,0,9000.00,9000,0,0.00,onboarding,false
null,2026-08-21,2026-08,regular,pending,0.00,956.00,0,0.00,0,956.00,0,956,0.00,room_switch,false
null,2026-08-18,2026-08,regular,pending,0.00,264.00,0,0.00,0,264.00,0,264,0.00,room_switch,false
null,2026-08-18,2026-08,regular,pending,2259.00,0.00,0,0.00,0,2259.00,0,2259,0.00,room_switch,false
null,2026-08-18,2026-08,additional_deposit,pending,0.00,0.00,0,0.00,0,7500.00,0,7500,0.00,room_switch,false
VISTA/26-27/08/00194,2026-08-15,2026-08,regular,paid,10694.00,0.00,0,0.00,0,10694.00,10694,0,0.00,onboarding,false
VISTA/26-27/08/00186,2026-08-15,2026-08,regular,paid,8500.00,0.00,0,0.00,0,8500.00,8500,0,0.00,onboarding,false
VISTA/26-27/08/00193,2026-08-15,2026-08,regular,paid,7404.00,0.00,0,0.00,0,7404.00,7404,0,0.00,onboarding,false
VISTA/26-27/08/00198,2026-08-15,2026-08,regular,paid,7952.00,0.00,0,0.00,0,7952.00,7952,0,0.00,onboarding,false
VISTA/26-27/08/00183,2026-08-10,2026-08,regular,paid,13839.00,0.00,0,0.00,0,13839.00,13839,0,0.00,onboarding,false
VISTA/26-27/08/00183,2026-08-09,2026-08,regular,paid,10759.00,0.00,0,0.00,0,10759.00,10759,0,0.00,onboarding,false
VISTA/26-27/08/00192,2026-08-09,2026-08,regular,paid,10759.00,0.00,0,0.00,0,10759.00,10759,0,0.00,onboarding,false
VISTA/26-27/08/00184,2026-08-06,2026-08,regular,paid,12162.00,0.00,0,0.00,0,12162.00,12162,0,0.00,onboarding,false
null,2026-08-05,2026-08,regular,pending,0.00,234.00,0,0.00,0,234.00,0,234,0.00,room_switch,false
null,2026-08-05,2026-08,regular,pending,0.00,478.00,0,0.00,0,478.00,0,478,0.00,room_switch,false
VISTA/26-27/08/00179,2026-08-04,2026-08,regular,paid,12194.00,0.00,0,0.00,0,12194.00,12194,0,0.00,onboarding,false
VISTA/26-27/08/00181,2026-08-04,2026-08,regular,paid,13097.00,0.00,0,0.00,0,13097.00,13097,0,0.00,onboarding,false
null,2026-08-03,2026-08,additional_deposit,pending,0.00,0.00,0,0.00,0,7500.00,0,7500,0.00,room_switch,false
null,2026-08-03,2026-08,regular,pending,18242.00,0.00,0,0.00,0,18242.00,0,18242,0.00,room_switch,false
VISTA/26-27/08/00173,2026-08-02,2026-08,regular,paid,15000.00,0.00,0,0.00,0,15000.00,15000,0,0.00,onboarding,false
VISTA/26-27/08/00174,2026-08-02,2026-08,regular,paid,14033.00,0.00,0,0.00,0,14033.00,14033,0,0.00,onboarding,false
VISTA/26-27/08/00188,2026-08-02,2026-08,regular,paid,14033.00,0.00,0,0.00,0,14033.00,14033,0,0.00,onboarding,false
VISTA/26-27/08/00177,2026-08-02,2026-08,regular,paid,14500.00,0.00,0,0.00,0,14500.00,15000,0,-500.00,onboarding,false
VISTA/26-27/08/00172,2026-08-01,2026-08,regular,pending,2339.00,3038.00,489,0.00,0,5866.00,0,5866,0.00,null,false
VISTA/26-27/08/00166,2026-08-01,2026-08,regular,pending,15500.00,1550.00,0,0.00,0,17050.00,0,17050,0.00,null,false
VISTA/26-27/08/00061,2026-08-01,2026-08,regular,pending,10420.00,3534.00,1941,0.00,0,15895.00,0,15895,0.00,null,false
VISTA/26-27/08/00163,2026-08-01,2026-08,regular,pending,15500.00,1860.00,0,0.00,0,17360.00,0,17360,0.00,null,false
VISTA/26-27/08/00160,2026-08-01,2026-08,regular,pending,15500.00,2356.00,0,0.00,0,17856.00,0,17856,0.00,null,false
VISTA/26-27/08/00164,2026-08-01,2026-08,regular,pending,15500.00,1426.00,0,0.00,0,16926.00,0,16926,0.00,null,false
VISTA/26-27/08/00015,2026-08-01,2026-08,regular,pending,14500.00,3038.00,0,0.00,0,17538.00,0,17538,0.00,null,false
VISTA/26-27/08/00080,2026-08-01,2026-08,regular,pending,25000.00,2015.00,0,0.00,0,27015.00,0,27015,0.00,null,false
VISTA/26-27/08/00154,2026-08-01,2026-08,regular,pending,22130.00,2790.00,2511,0.00,0,27431.00,0,27431,0.00,null,false
VISTA/26-27/08/00172,2026-08-01,2026-08,regular,paid,19500.00,0.00,0,0.00,0,19500.00,19500,0,0.00,onboarding,false
