receipt_number,receipt_type,payment_date,amount_paid,base_amount,processing_fee,payment_mode,has_tenant,has_allotment,is_deleted
VISTA/26-27/08/00089,booking,2026-08-28,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/R00205,payment,2026-08-27,17825.00,0,0,upi,true,true,false
VISTA/26-27/08/00090,onboarding,2026-08-26,22218.00,22218,0,upi,true,true,false
VISTA/26-27/08/00088,booking,2026-08-26,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00085,booking,2026-08-25,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00083,booking,2026-08-25,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00075,onboarding,2026-08-18,61580.00,60669,911,credit_card,true,true,false
VISTA/26-27/08/R00190,payment,2026-08-17,20833.00,0,0,credit_card,true,true,false
VISTA/26-27/08/00080,onboarding,2026-08-16,32882.00,32882,0,upi,true,true,false
VISTA/26-27/08/00074,booking,2026-08-16,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00073,booking,2026-08-16,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00072,payment,2026-08-16,14500.00,0,0,UPI,true,true,false
VISTA/26-27/08/00082,onboarding,2026-08-15,30000.00,30000,0,upi,true,true,false
VISTA/26-27/08/00071,booking,2026-08-15,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00070,onboarding,2026-08-15,32039.00,32039,0,upi,true,true,false
VISTA/26-27/08/00069,booking,2026-08-15,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/R00189,payment,2026-08-14,1000.00,0,0,upi,true,true,false
VISTA/26-27/08/R00184,payment,2026-08-13,265.00,0,0,upi,true,true,false
VISTA/26-27/08/00067,booking,2026-08-13,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00061,booking,2026-08-11,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00060,onboarding,2026-08-11,32509.00,32509,0,upi,true,true,false
VISTA/26-27/08/00059,payment,2026-08-11,21453.00,0,0,UPI,true,true,false
VISTA/26-27/08/00079,onboarding,2026-08-11,55800.00,55800,0,upi,true,true,false
VISTA/23-24/08/00003,onboarding,2026-08-10,43089.00,43089,0,upi,true,true,false
VISTA/26-27/08/00062,onboarding,2026-08-10,38750.00,38750,0,bank_transfer,true,true,false
VISTA/26-27/08/R00170,payment,2026-08-10,20678.00,0,0,upi,true,true,false
VISTA/26-27/08/R00168,payment,2026-08-10,16042.00,0,0,upi,true,true,false
VISTA/26-27/08/00048,booking,2026-08-10,1000.00,1000,0,upi,true,true,false
VISTA/26-27/07/00110,booking,2026-08-10,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/R00152,payment,2026-08-09,17639.00,0,0,upi,true,true,false
VISTA/26-27/08/R00151,payment,2026-08-09,17639.00,0,0,upi,true,true,false
VISTA/26-27/08/00087,onboarding,2026-08-09,26866.00,26866,0,upi,true,true,false
VISTA/26-27/08/00086,onboarding,2026-08-09,39459.00,39459,0,upi,true,true,false
VISTA/26-27/08/00084,onboarding,2026-08-09,40300.00,39942,0,upi,true,true,false
VISTA/26-27/08/R00157,payment,2026-08-08,16337.00,0,0,upi,true,true,false
VISTA/26-27/08/R00157,payment,2026-08-08,19556.00,0,0,upi,true,true,false
VISTA/26-27/08/R00155,payment,2026-08-08,15160.00,0,0,upi,true,true,false
VISTA/26-27/08/R00150,payment,2026-08-08,17050.00,0,0,upi,true,true,false
VISTA/26-27/08/R00149,payment,2026-08-08,16957.00,0,0,upi,true,true,false
VISTA/26-27/08/R00148,payment,2026-08-08,21918.00,0,0,upi,true,true,false
VISTA/26-27/08/R00147,payment,2026-08-08,16639.00,0,0,upi,true,true,false
VISTA/26-27/08/R00146,payment,2026-08-08,17918.00,0,0,upi,true,true,false
VISTA/26-27/08/R00145,payment,2026-08-08,16825.00,0,0,upi,true,true,false
VISTA/26-27/08/R00144,payment,2026-08-08,16763.00,0,0,upi,true,true,false
VISTA/26-27/08/R00143,payment,2026-08-08,17019.00,0,0,upi,true,true,false
VISTA/26-27/08/R00141,payment,2026-08-08,16104.00,0,0,upi,true,true,false
VISTA/26-27/08/R00130,payment,2026-08-08,32860.00,0,0,upi,true,true,false
VISTA/26-27/08/R00130,payment,2026-08-08,17077.00,0,0,upi,true,true,false
VISTA/26-27/08/R00183,payment,2026-08-07,3038.00,0,0,upi,true,true,false
VISTA/26-27/08/R00135,payment,2026-08-07,21825.00,0,0,upi,true,true,false
VISTA/26-27/08/R00133,payment,2026-08-07,20856.00,0,0,upi,true,true,false
