table_schema,table_name,total_rows,distinct_orgs,null_org_rows
public,ai_actions,7,1,0
public,ai_sessions,14,1,0
public,announcements,1,1,0
public,apartments,43,1,0
public,asset_allocations,1822,1,0
public,asset_brands,50,1,0
public,asset_categories,11,1,0
public,asset_types,34,1,0
public,assets,1700,1,0
public,audit_logs,3119,1,0
public,bed_rates,24,1,0
public,beds,203,1,0
public,coa_accounts,57,1,0
market,competitor_intelligence,133,1,0
market,competitor_properties,257,1,0
market,competitor_room_types,1,1,0
public,cost_estimate_approvers,1,1,0
public,deposit_settlements,307,1,0
public,diagnostic_sessions,479,1,0
public,eb_monitoring_readings,35,1,0
public,eb_payments,70,1,0
public,eb_rates,2,1,0
public,eb_tenant_shares,801,1,0
public,electricity_readings,1411,1,0
public,email_templates,4,1,3
public,enquiries,18,1,0
public,exit_tasks,3,1,0
public,expense_bed_allocations,448,1,0
public,expense_categories,9,1,0
public,expense_subcategories,10,1,0
public,expenses,516,1,0
public,financial_audit_log,23132,1,0
public,gst_monthly_workings,5,1,0
public,invoice_line_items,5536,1,0
public,invoice_pdf_configs,2,1,0
public,invoices,5214,1,0
public,issue_sub_types,51,1,0
public,issue_type_asset_types,33,1,0
public,issue_type_expense_mapping,14,1,0
public,issue_types,14,1,0
public,journal_entries,14236,1,0
public,journal_lines,33894,1,0
public,maintenance_item_stock_entries,47,1,0
public,maintenance_item_usage,39,1,0
public,maintenance_items,93,1,0
public,maintenance_tickets,1610,1,0
public,offline_kyc_pending,38,1,0
public,org_branding_settings,1,1,0
public,org_email_settings,1,1,0
market,org_tracked_localities,5,1,0
public,org_whatsapp_settings,1,1,0
public,organization_bank_accounts,5,1,0
public,organization_subscriptions,1,1,0
public,owner_contracts,35,1,0
public,owner_payments,345,1,0
public,owners,13,1,0
public,payment_proofs,24,1,0
public,payroll_sync,18,1,6
public,profiles,222,1,0
public,properties,1,1,0
public,property_images,2,1,0
public,receipt_number_counters,8,1,0
public,receipts,5858,1,0
public,receipts_dedup_audit,9,1,0
public,role_permissions,122,1,0
public,room_switches,34,1,0
public,running_bed_maintenance_details,23,1,0
public,tab_permissions,405,1,0
public,team_attendance,1320,1,0
public,team_departments,4,1,0
public,team_members,20,1,0
public,team_payments,3,1,0
public,team_salary_bills,71,1,0
public,tenant_absence_records,38,1,0
public,tenant_adjustments,266,1,0
public,tenant_allotments,1213,1,0
public,tenant_document_history,1,1,0
public,tenant_exits,147,1,0
public,tenant_notices,86,1,0
public,tenant_remarks,2,1,0
public,tenant_transactions,16451,1,0
public,tenants,1027,1,0
public,ticket_assignment_rules,7,1,0
public,ticket_cost_estimates,28,1,0
public,ticket_cost_estimates_dedupe_backup_20260715,12,1,0
public,ticket_logs,8239,1,65
public,ticket_number_counters,5,1,0
public,ticket_purchases,4,1,0
public,ticket_resolutions,466,1,0
public,vendors,40,1,0
public,whatsapp_events,1943,1,600
public,whatsapp_payment_submissions,387,1,0
public,whatsapp_send_deliveries,2422,1,0
public,whatsapp_send_jobs,395,1,0
public,accounting_periods,0,0,0
public,asset_depreciation,0,0,0
public,asset_maintenance_logs,0,0,0
public,asset_movements,0,0,0
public,asset_payments,0,0,0
public,bed_status_history,0,0,0
public,bed_type_config,0,0,0
market,competitor_pricing_snapshots,0,0,0
market,competitor_pricing_snapshots_2026_05,0,0,0
market,competitor_pricing_snapshots_2026_06,0,0,0
market,competitor_pricing_snapshots_2026_07,0,0,0
market,competitor_pricing_snapshots_2026_08,0,0,0
market,competitor_reviews,0,0,0
public,ledger_entries,0,0,0
public,lifecycle_config,0,0,0
market,locality_market_metrics,0,0,0
public,org_ai_settings,0,0,0
market,property_embeddings,0,0,0
public,purchase_items,0,0,0
public,purchase_orders,0,0,0
public,receipt_allocations,0,0,0
public,regular_maintenance_rules,0,0,0
public,replacement_forecasts,0,0,0
market,review_embeddings,0,0,0
public,tickets,0,0,0
public,upi_tenant_mappings,0,0,0
public,vendor_remarks,0,0,0
public,whatsapp_conversations,0,0,0
