id,phase,severity,message,sql_state,created_at
ed2ad4ca-764f-49fd-8230-b0f5d349963b,phase3_setup,INFO,accounting_migration_log table created,null,2026-04-25 10:17:01.70487+00
0c42c8ef-0a12-441c-9390-c050afa503ca,phase3_settlement_diag,ERROR,Settlement eaacf620-34fc-4275-a36a-0ac683f8643b unbalanced: deposit=21750 deductions+refund=22360 diff=-610,P0001,2026-04-25 10:17:36.911847+00
79fb9fe7-28c0-4c70-a92b-95582a8a3ad7,phase3_settlement_diag,ERROR,Settlement d1617e3a-c50c-4ee2-bd49-01f1fecc9d88 unbalanced: deposit=20250 deductions+refund=21097 diff=-847,P0001,2026-04-25 10:17:36.911847+00
a8c4bf08-5ba2-4608-8cbc-cde55e957af7,phase3_settlement_diag,ERROR,Settlement ed56c73a-cae3-42ae-8463-f29e85f01efa unbalanced: deposit=21750 deductions+refund=22901 diff=-1151,P0001,2026-04-25 10:17:36.911847+00
b07fca8f-bebd-4d89-ba7d-86eb07856c57,phase3_settlement_diag,ERROR,Settlement 7d3f1c92-4099-4480-a95e-bf4c9ccb591d unbalanced: deposit=21750 deductions+refund=22040 diff=-290,P0001,2026-04-25 10:17:36.911847+00
ba218b7d-a015-48af-bfbf-f932fea16aac,phase3_settlement_diag,ERROR,Settlement 646f5596-734a-4abb-b0c2-23639529000b unbalanced: deposit=21750 deductions+refund=21920 diff=-170,P0001,2026-04-25 10:17:36.911847+00
4e9bba6a-534a-47d2-a550-99dd93fb826b,phase3_settlement_backfill,ERROR,Settlement d1617e3a-c50c-4ee2-bd49-01f1fecc9d88 unbalanced: deposit=20250 deductions+refund=21097 diff=-847,P0001,2026-04-25 10:21:23.130842+00
4ee8af67-b141-4e4b-bb6b-dbf646ef0ece,phase3_settlement_backfill,ERROR,Settlement eaacf620-34fc-4275-a36a-0ac683f8643b unbalanced: deposit=21750 deductions+refund=22360 diff=-610,P0001,2026-04-25 10:21:23.130842+00
57866f91-4d76-4954-ae7d-599c029b3439,phase3_settlement_backfill,ERROR,Settlement ed56c73a-cae3-42ae-8463-f29e85f01efa unbalanced: deposit=21750 deductions+refund=22901 diff=-1151,P0001,2026-04-25 10:21:23.130842+00
5abc5d6f-3f23-4717-a0e3-54179e3cee41,phase3_settlement_backfill,ERROR,Settlement 646f5596-734a-4abb-b0c2-23639529000b unbalanced: deposit=21750 deductions+refund=21920 diff=-170,P0001,2026-04-25 10:21:23.130842+00
