id,request_type,model,latency_ms,success,error_message,metadata,redaction_level,created_at
a94a8a68-1302-47b0-b063-b4ed5b71ecc1,command,google/gemini-2.5-flash,1240,true,null,"{""function"":""ai-command""}",none,2026-04-19 06:50:43.598317+00
850c121c-1d4d-42b1-b354-c25cd9f14951,command,google/gemini-2.5-flash,1385,true,null,"{""function"":""ai-command""}",none,2026-04-19 06:50:59.494525+00
961bc450-060f-42ff-8c68-897e2fa3a2a3,command,google/gemini-2.5-flash,1196,true,null,"{""function"":""ai-command""}",none,2026-04-19 06:51:45.750318+00
47519e36-2306-4fd5-aa46-ec725ad65ca1,command,google/gemini-2.5-flash,1052,true,null,"{""function"":""ai-command""}",none,2026-04-19 06:51:48.707646+00
46526a71-34df-48f9-a3fc-977f2e47b6fa,command,google/gemini-2.5-flash,1159,true,null,"{""function"":""ai-command""}",none,2026-04-19 06:52:01.148104+00
55182576-9cc0-4de7-a3f7-b4f12295bc13,diagnosis,google/gemini-2.5-flash,1830,true,null,"{""mode"":""classify_issue"",""function"":""ai-diagnosis""}",none,2026-04-19 06:52:22.157715+00
f267423d-a9ef-443e-b6e5-21a2668df459,diagnosis,google/gemini-2.5-flash,1614,true,null,"{""mode"":""classify_issue"",""function"":""ai-diagnosis""}",none,2026-04-19 06:52:34.942635+00
06baa241-7d40-4914-8b73-c9ca0b2b7389,diagnosis,google/gemini-2.5-flash,1924,true,null,"{""mode"":""classify_issue"",""function"":""ai-diagnosis""}",none,2026-04-19 06:52:59.197614+00
47edfbbd-360b-429c-ae53-6be0ed756101,analytics,google/gemini-3-flash-preview,4658,true,null,"{""function"":""ticket-analytics""}",none,2026-04-19 06:53:00.097585+00
98494f6c-8322-4e85-bad8-041556bfe086,diagnosis,google/gemini-2.5-flash,1817,true,null,"{""mode"":""classify_issue"",""function"":""ai-diagnosis""}",none,2026-04-19 06:54:25.893906+00
c6c5c354-d699-4c4a-92ce-8b4409809480,diagnosis,google/gemini-2.5-flash,14223,true,null,"{""mode"":""classify_issue"",""function"":""ai-diagnosis""}",none,2026-04-19 06:54:39.780841+00
358539a4-a612-410d-a6fb-d7c6f71ce206,command,google/gemini-2.5-flash,1555,true,null,"{""function"":""ai-command""}",none,2026-04-19 06:55:09.745063+00
d5d17e99-9828-407b-b7b2-ad20e4e58283,command,google/gemini-2.5-flash,1087,true,null,"{""function"":""ai-command""}",none,2026-04-19 06:55:11.532177+00
c35c7da6-55cf-444b-8513-7fa0afe98836,command,google/gemini-2.5-flash,1292,true,null,"{""function"":""ai-command""}",none,2026-04-19 07:01:46.906282+00
cb758cd9-3c8f-4a83-a469-cd425ccac45b,command,google/gemini-2.5-flash,1246,true,null,"{""function"":""ai-command""}",none,2026-04-19 07:01:48.840645+00
afc545f0-cca3-431e-99cf-86d7bdf32e8f,command,google/gemini-2.5-flash,1993,true,null,"{""function"":""ai-command""}",none,2026-04-19 07:02:34.130236+00
a285f808-5fea-468d-a0f7-b83fc0e2fe48,command,google/gemini-2.5-flash,1320,true,null,"{""function"":""ai-command""}",none,2026-04-19 07:03:32.685908+00
b83e1052-1702-496b-b44f-3bc62c534999,command,google/gemini-2.5-flash,1187,true,null,"{""function"":""ai-command""}",none,2026-04-19 07:08:57.653065+00
