table_schema,table_name,constraint_name,constraint_type,columns,definition,condeferrable,convalidated
market,amenities_master,amenities_master_pkey,PRIMARY KEY,id,PRIMARY KEY (id),false,true
market,amenities_master,amenities_master_canonical_name_key,UNIQUE,canonical_name,UNIQUE (canonical_name),false,true
market,amenity_embeddings,amenity_embeddings_amenity_id_fkey,FOREIGN KEY,amenity_id,FOREIGN KEY (amenity_id) REFERENCES market.amenities_master(id) ON DELETE CASCADE,false,true
market,amenity_embeddings,amenity_embeddings_pkey,PRIMARY KEY,amenity_id,PRIMARY KEY (amenity_id),false,true
market,competitor_intelligence,competitor_intelligence_amenity_score_check,CHECK,amenity_score,CHECK (((amenity_score >= 0) AND (amenity_score <= 100))),false,true
market,competitor_intelligence,competitor_intelligence_digital_maturity_score_check,CHECK,digital_maturity_score,CHECK (((digital_maturity_score >= 0) AND (digital_maturity_score <= 100))),false,true
market,competitor_intelligence,competitor_intelligence_competitor_id_fkey,FOREIGN KEY,competitor_id,FOREIGN KEY (competitor_id) REFERENCES market.competitor_properties(id) ON DELETE CASCADE,false,true
market,competitor_intelligence,competitor_intelligence_pkey,PRIMARY KEY,id,PRIMARY KEY (id),false,true
market,competitor_intelligence,competitor_intelligence_competitor_id_key,UNIQUE,competitor_id,UNIQUE (competitor_id),false,true
market,competitor_pricing_snapshots,competitor_pricing_snapshots_competitor_id_fkey,FOREIGN KEY,competitor_id,FOREIGN KEY (competitor_id) REFERENCES market.competitor_properties(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots,competitor_pricing_snapshots_organization_id_fkey,FOREIGN KEY,organization_id,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_05,competitor_pricing_snapshots_competitor_id_fkey,FOREIGN KEY,competitor_id,FOREIGN KEY (competitor_id) REFERENCES market.competitor_properties(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_05,competitor_pricing_snapshots_organization_id_fkey,FOREIGN KEY,organization_id,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_06,competitor_pricing_snapshots_competitor_id_fkey,FOREIGN KEY,competitor_id,FOREIGN KEY (competitor_id) REFERENCES market.competitor_properties(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_06,competitor_pricing_snapshots_organization_id_fkey,FOREIGN KEY,organization_id,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_07,competitor_pricing_snapshots_competitor_id_fkey,FOREIGN KEY,competitor_id,FOREIGN KEY (competitor_id) REFERENCES market.competitor_properties(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_07,competitor_pricing_snapshots_organization_id_fkey,FOREIGN KEY,organization_id,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_08,competitor_pricing_snapshots_competitor_id_fkey,FOREIGN KEY,competitor_id,FOREIGN KEY (competitor_id) REFERENCES market.competitor_properties(id) ON DELETE CASCADE,false,true
market,competitor_pricing_snapshots_2026_08,competitor_pricing_snapshots_organization_id_fkey,FOREIGN KEY,organization_id,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE,false,true
market,competitor_properties,competitor_properties_locality_id_fkey,FOREIGN KEY,locality_id,FOREIGN KEY (locality_id) REFERENCES market.localities(id),false,true
market,competitor_properties,competitor_properties_organization_id_fkey,FOREIGN KEY,organization_id,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE,false,true
market,competitor_properties,competitor_properties_source_id_fkey,FOREIGN KEY,source_id,FOREIGN KEY (source_id) REFERENCES market.scrape_sources(id),false,true
