id,record_id,department,date,check_in_time,check_out_time,status,hours_worked,synced_at,created_at
2d5154d9-7a29-4a7e-88e4-7211728d8066,j5769j1f0x2y4hyj9hn15sz23x82qb24,Software,2026-03-11,19:10:00,null,late,null,2026-08-22 00:16:20.789+00,2026-06-09 06:16:18.750501+00
807de94c-71bd-45d5-8d02-1922c328b107,j57dx5qpfnmvj6ptar7q9p212d82pq3n,Software,2026-03-11,16:33:05,16:33:11,late,null,2026-06-15 00:16:17.922+00,2026-06-09 06:16:18.750501+00
2f72a595-1f72-4dcd-85f8-19361679a74e,j576ae15a5krjn0p5wwvrarqzh82raj2,Software,2026-03-12,10:29:00,null,late,null,2026-06-15 00:16:17.922+00,2026-06-09 06:16:18.750501+00
909728cb-d8a1-4e38-9119-7d6bf7b3b0a6,j57428we8wyjpgph6p4ncggnz582rwsy,Software,2026-03-12,10:28:00,null,late,null,2026-08-22 00:16:20.789+00,2026-06-09 06:16:18.750501+00
c4f9359f-ba75-477c-8ede-325568bac7bb,j57b90fjm5spdm61dvdsgv58ed82sx95,Accounting,2026-03-12,11:57:00,null,late,null,2026-08-22 00:16:20.789+00,2026-06-09 06:16:18.750501+00
049c3dec-2e76-41e6-b575-2fb1b2d58634,j5761d8h1x261xjhdgnrxv4jj182xc5m,Accounting,2026-03-14,10:53:00,11:02:00,late,0.15,2026-08-22 00:16:20.789+00,2026-06-10 06:16:18.783062+00
17f71aa1-4dc7-45ae-8869-8fe4f59573c9,j573ncjzqy312tnc5a9wcb57fs82xt1z,Management,2026-03-14,11:00:00,null,late,null,2026-08-22 00:16:20.789+00,2026-06-10 06:16:18.783062+00
ff0fd776-6792-47f3-8a8c-8f16ed108ec5,j574bwsq1tbhgrcfgqxdahgr9h82wxzy,Management,2026-03-14,11:01:00,null,late,null,2026-08-22 00:16:20.789+00,2026-06-09 12:16:17.980168+00
c949d6ea-a0fa-4940-85eb-ed12692b19ac,j57a2xesbjjpgj5h9h9q6dpzpd8312pw,Software,2026-03-16,16:37:00,null,late,null,2026-06-15 00:16:17.922+00,2026-06-10 06:16:18.783062+00
24733223-e6ce-42c9-a0f9-88713146a123,j5791fn3w2v8sr04ykjrh1rhqh83231v,Software,2026-03-17,11:55:00,null,late,null,2026-06-15 00:16:17.922+00,2026-06-10 06:16:18.783062+00
3642a060-50f7-41f2-866c-30b7c87ffcdf,j5740aneddgs1bkwn1exv2qd3h832wsh,Software,2026-03-17,09:57:00,12:58:00,late,3,2026-08-22 00:16:20.789+00,2026-06-10 06:16:18.783062+00
2f45aa20-90d5-415c-ad4d-1d0a5603fc7b,j575wrwvbbhrqky5pvtkzem61h840qam,Property management,2026-04-01,16:17:00,17:34:00,late,1.3,2026-06-15 00:16:17.922+00,2026-06-10 06:16:18.783062+00
3078930c-732f-4034-8d4a-25681d76a6fd,j572kj945kfq1m98wkryc6vcmd841qpw,Property management,2026-04-01,15:58:00,17:31:00,late,1.6,2026-08-22 00:16:20.789+00,2026-06-10 06:16:18.783062+00
26f30fff-cb4c-49ba-9b69-5c4141750139,j5767kh5vc9h3pr0xeemmqkkvh8427va,Property management,2026-04-02,09:23:00,17:41:00,present,8.3,2026-08-22 00:16:20.789+00,2026-06-10 06:16:18.783062+00
729b39a1-0a5b-4f47-b618-73d0683e98cd,j57e2p45temwpaf1ezza8sbc6n8437k8,Property management,2026-04-02,09:42:00,19:03:00,present,9.4,2026-06-15 00:16:17.922+00,2026-06-10 06:16:18.783062+00
923a78d5-1385-41c9-ba5a-4ed2fc6af3de,j57ayd967717zmmg58yx39bna9843yqt,Property management,2026-04-02,09:42:00,17:28:00,present,7.8,2026-06-15 00:16:17.922+00,2026-06-10 06:16:18.783062+00
015bf534-7331-4b33-9fd1-13cfa1cd5870,j57cr0tgsbab76gnhd0p9jpnh1845sw8,Property management,2026-04-03,10:05:00,null,present,null,2026-06-15 00:16:17.922+00,2026-06-11 06:16:18.140636+00
06bfd376-0fc3-4b6b-b479-347739d1e053,j5771dwkwyct71ph8za7qzg669844w8c,Property management,2026-04-03,09:53:00,null,present,null,2026-08-22 00:16:20.789+00,2026-06-11 06:16:18.140636+00
17ec0454-359e-436a-b118-516906271d62,j572818a6sbqx4emg1amjbyp6n844v4y,HouseKeeping,2026-04-03,09:52:00,null,present,null,2026-08-22 00:16:20.789+00,2026-06-11 06:16:18.140636+00
331f1691-7ed6-4c3e-ac9f-b557c048fced,j57f1ba53hq5pndsrssvswq0dd844y5k,HouseKeeping,2026-04-03,09:52:00,null,present,null,2026-08-22 00:16:20.789+00,2026-06-11 06:16:18.140636+00
59d6c835-477c-40fb-adfe-c814f1dbbbe7,j572p5b7n17kp00wp8zbv761zx844vtd,Software,2026-04-03,14:22:00,null,late,null,2026-06-15 00:16:17.922+00,2026-06-11 06:16:18.140636+00
6a4587ac-b5d6-421f-8107-a7f5f0e224c8,j5782mwr0f66w8v4ntvmqsp76n844csy,HouseKeeping,2026-04-03,10:00:00,10:01:00,present,null,2026-08-22 00:16:20.789+00,2026-06-11 06:16:18.140636+00
74f468e1-49ec-4c33-a1ec-3e98243df85b,j571krdxm81afv9dqsvx75cpdh844b2n,Property management,2026-04-03,09:31:00,10:05:00,present,null,2026-06-15 00:16:17.922+00,2026-06-11 06:16:18.140636+00
85806a69-dd44-4c86-8f9d-a17e76f4b97b,j57agetax7s3redrrr26qtmkq98444mg,Property management,2026-04-03,09:29:00,09:52:00,present,null,2026-08-22 00:16:20.789+00,2026-06-11 12:16:18.139906+00
a3bd647d-5dcd-4e98-81a0-f3d17bd8a04e,j578gztftk3rr14d7z0rfeqztx8455ja,Property management,2026-04-03,09:51:00,null,present,null,2026-06-15 00:16:17.922+00,2026-06-11 06:16:18.140636+00
b073e356-8226-4ee1-8185-61368ef24cda,j57btw00j5nbhmbwsp52azrv3d845kx9,HouseKeeping,2026-04-03,10:00:00,null,present,null,2026-08-22 00:16:20.789+00,2026-06-11 06:16:18.140636+00
0ecded22-bf9c-4ae5-b369-859ba58a4983,j572n4fe9phq76bz312yjscr19847rz5,Property management,2026-04-04,09:47:00,19:30:00,late,9.7,2026-06-15 00:16:17.922+00,2026-06-12 06:16:18.237381+00
3b64d706-de1d-4e17-a775-5d6ec629ff0d,j57bhgzk3c1krdw5anf3pre3w9847tmq,HouseKeeping,2026-04-04,10:01:00,null,late,null,2026-08-22 00:16:20.789+00,2026-06-12 06:16:18.237381+00
