constraint_name,from_schema,from_table,from_column,to_schema,to_table,to_column,key_position,key_width,on_delete,on_update,relationship_kind
accounting_periods_closed_by_fkey,public,accounting_periods,closed_by,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
accounting_periods_organization_id_fkey,public,accounting_periods,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
ai_actions_organization_id_fkey,public,ai_actions,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
ai_actions_session_id_fkey,public,ai_actions,session_id,public,ai_sessions,id,1,1,SET NULL,NO ACTION,DECLARED
ai_actions_user_id_fkey,public,ai_actions,user_id,auth,users,id,1,1,CASCADE,NO ACTION,DECLARED
ai_sessions_organization_id_fkey,public,ai_sessions,organization_id,public,organizations,id,1,1,CASCADE,NO ACTION,DECLARED
ai_sessions_user_id_fkey,public,ai_sessions,user_id,auth,users,id,1,1,CASCADE,NO ACTION,DECLARED
amenity_embeddings_amenity_id_fkey,market,amenity_embeddings,amenity_id,market,amenities_master,id,1,1,CASCADE,NO ACTION,DECLARED
announcements_created_by_fkey,public,announcements,created_by,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
announcements_organization_id_fkey,public,announcements,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
apartments_organization_id_fkey,public,apartments,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
apartments_owner_id_fkey,public,apartments,owner_id,public,owners,id,1,1,NO ACTION,NO ACTION,DECLARED
apartments_property_id_fkey,public,apartments,property_id,public,properties,id,1,1,CASCADE,NO ACTION,DECLARED
asset_allocations_allocated_by_fkey,public,asset_allocations,allocated_by,auth,users,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_allocations_apartment_id_fkey,public,asset_allocations,apartment_id,public,apartments,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_allocations_asset_id_fkey,public,asset_allocations,asset_id,public,assets,id,1,1,CASCADE,NO ACTION,DECLARED
asset_allocations_bed_id_fkey,public,asset_allocations,bed_id,public,beds,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_allocations_organization_id_fkey,public,asset_allocations,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_allocations_property_id_fkey,public,asset_allocations,property_id,public,properties,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_brands_organization_id_fkey,public,asset_brands,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_categories_organization_id_fkey,public,asset_categories,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
asset_depreciation_asset_id_fkey,public,asset_depreciation,asset_id,public,assets,id,1,1,CASCADE,NO ACTION,DECLARED
asset_maintenance_logs_asset_id_fkey,public,asset_maintenance_logs,asset_id,public,assets,id,1,1,CASCADE,NO ACTION,DECLARED
asset_maintenance_logs_organization_id_fkey,public,asset_maintenance_logs,organization_id,public,organizations,id,1,1,NO ACTION,NO ACTION,DECLARED
