id,record_id,employee_code,department,position,company_name,shift_name,salary_type,salary_rate,bank_name,status,synced_at,created_at
6d9338ce-3655-4180-a9a4-4efe8108fb65,k57er59t3nt9htaxfkf6h1d8f182pwxn,ANV-SW-26-003,Software,Sr Software Developer,Anvas Tech,Normal Shift,monthly,18000,State Bank of India,active,2026-07-09 00:16:15.528+00,2026-05-09 07:22:53.226874+00
0c14b27e-fdf2-431c-8f1d-e0d6e40dd9ee,k574vtfjgtqw63kawh50zgk2xd86h0z7,,Software,Software,Anvas Tech,Normal Shift,monthly,25000,,deactivated,2026-07-08 00:16:15.432+00,2026-05-11 05:43:24.48821+00
a360684e-4cf2-467e-bc60-602f328bbfd2,k572ccncvccfze1nyftj37vmhx82qw2v,ANV-SW-26-002,Software,Software,Anvas Tech,Normal Shift,monthly,18000,iob,active,2026-08-29 06:16:15.445+00,2026-05-11 06:16:34.711953+00
0ec3a3bf-74a5-4154-b82b-82b6e4462ee8,k577etpbmvhv09asvj01qgmwed84eab1,SRRB-AC-26-001,Accounting,Accountant,Sree Raja Rajeshwari Developers,Normal Shift,monthly,14000,,active,2026-08-05 06:16:15.559+00,2026-05-11 12:16:17.656822+00
203821bd-1297-409f-a4d7-46c2044e9cbb,k57ew13t4a787za1hn3bvhpv1x82eyz4,,Management,Personal Assitant,Vishful,,monthly,35000,,active,2026-08-29 06:16:15.445+00,2026-05-11 12:16:17.656822+00
34dc4f2d-51fc-4e4e-b78f-8f84f21f7c68,k570ekz3wy23krqstrtjb214c584wyn8,SRRB-AC-26-003,Accounting,Accountant,Sree Raja Rajeshwari Developers,Normal Shift,monthly,17000,,active,2026-08-29 06:16:15.445+00,2026-05-11 12:16:17.656822+00
3ac9742c-7faf-42b4-9351-b8537a23b20b,k570mn6c4d325ft53stqy1m8fs840kp1,,HouseKeeping,Cleaning Maid,Vishful,Normal Shift,monthly,16000,,active,2026-08-29 06:16:15.445+00,2026-05-11 12:16:17.656822+00
40793222-057a-445f-8339-616a839109ec,k5797pqmr8we9rqmnp591m3ma584fvsm,SRRB-M-26-001,General,Clerk,Sree Raja Rajeshwari Developers,Normal Shift,monthly,17000,,active,2026-08-29 06:16:15.445+00,2026-05-11 12:16:17.656822+00
5a22f1ce-14a4-4893-af4a-66b1cdea752e,k57eacp5e34csqajqmb0nxe9g58418jt,,HouseKeeping,Cleaning Maid,Vishful,Normal Shift,monthly,16000,,active,2026-08-29 06:16:15.445+00,2026-05-11 12:16:17.656822+00
636d8eec-6a95-487e-9cec-48ceb8248c75,k5715gf5zd26k5yvgb40zrp8hn82xhyh,,Management,Personal Assitant,Vishful,Normal Shift,monthly,50000,,active,2026-08-29 06:16:15.445+00,2026-05-11 12:16:17.656822+00
