id,team_member_id,organization_id,period_start,period_end,monthly_salary,per_day_salary,present_days,leave_days,absent_days,paid_leave_days,deducted_days,deduction_amount,payable_salary,synced_at
0ccfecf1-c11d-4c13-9833-81a808bf277e,3b4c72de-80d1-4df4-8fbf-1147100d54dc,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,16000,516.13,23,0,3,0,3,1548.39,14451.61,2026-06-29 06:19:53.533+00
3bdec0af-2141-4121-a2fb-62476b948362,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,18000,580.65,24,2,0,2,0,0,18000,2026-06-29 06:19:54.571+00
0356fab0-99ee-4686-9dd0-e8e57158bcc0,c8176ba9-6167-46cd-8917-cee55f7fbace,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,25000,806.45,0,0,26,0,26,20967.74,4032.26,2026-06-29 06:19:55.577+00
8fa326c2-e33f-4049-9126-c93a6ef8b471,d37b144f-0bcd-4941-b1cf-e594fa52bb72,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,16000,516.13,23,0,3,0,3,1548.39,14451.61,2026-06-29 06:19:56.085+00
66e4b9e4-c07b-4591-be7e-90fffc65e63e,f7dd430d-c6a9-43ea-98b1-be8e0ea84bf6,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,16000,516.13,23,0,3,0,3,1548.39,14451.61,2026-06-29 06:19:56.589+00
d9be5b9d-a1f2-47ec-81ce-d5128a398e93,8a235718-7769-447f-ac47-d37aa798b932,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,16000,516.13,22,0,4,0,4,2064.52,13935.48,2026-06-29 06:19:57.112+00
2fab2ff9-dcb3-4313-820f-a1c20d7d9f05,1da9e75d-51ab-4a53-9fc5-222ba2c12524,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,35000,1129.03,26,0,0,0,0,0,35000,2026-06-29 06:19:57.623+00
b29a60cd-c0a2-4477-aecb-da8697774df0,b21e8a0e-5076-9666-21ba-fb6b06140f1b,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,18000,580.65,0,0,26,0,26,15096.77,2903.23,2026-06-29 06:19:58.14+00
3f4463af-5dde-462a-adb1-dce5c908a737,null,null,2026-05-29,2026-06-28,17000,548.39,0,0,26,0,26,14258.06,2741.94,2026-06-29 06:19:58.661+00
e3bcb466-91b2-4f28-a524-8015ad5188d6,39523891-bab0-6a9f-129b-2f5b51ea3e37,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,25000,806.45,25,0,1,1,0,0,25000,2026-06-29 06:19:59.182+00
76f79fc4-785b-4011-8ee4-aaf97761069d,null,null,2026-05-29,2026-06-28,25000,806.45,0,0,26,0,26,20967.74,4032.26,2026-06-29 06:19:59.687+00
126e6c99-a4c0-4e49-9014-ea78b769a83a,null,null,2026-05-29,2026-06-28,35000,1129.03,0,0,26,0,26,29354.84,5645.16,2026-06-29 06:20:00.213+00
701d168c-ea0e-40d0-9dd9-d77ca33744a7,null,null,2026-05-29,2026-06-28,50000,1612.9,0,0,26,0,26,41935.48,8064.52,2026-06-29 06:20:00.728+00
1dfc8c58-a458-48f5-8143-ad958364075d,9c20c187-fe47-4647-a49b-6825e23b7920,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,20000,645.16,23,0,3,0,3,1935.48,18064.52,2026-06-29 06:20:01.242+00
6eb756dc-a676-40db-9528-5a2483f53dcf,null,null,2026-05-29,2026-06-28,14000,451.61,0,0,26,0,26,11741.94,2258.06,2026-06-29 06:20:01.77+00
7307f084-8736-4400-ae4f-cbd54a3e2c5b,509cadb2-fb85-403e-ab9a-43e9e7ec9555,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,20000,645.16,23,0,3,2,1,645.16,19354.84,2026-06-29 06:20:02.284+00
73363607-78d4-4fa6-a924-8b057f74598b,fc505e28-6210-49c3-b873-e10e86ec7b92,00000000-0000-0000-0000-000000000001,2026-05-29,2026-06-28,17000,548.39,23,3,0,2,1,548.39,16451.61,2026-06-29 06:20:02.786+00
2cd81e73-9d81-4cca-bc26-8142c5ed895c,null,null,2026-05-29,2026-06-28,10000,322.58,0,0,26,0,26,8387.1,1612.9,2026-06-29 06:20:03.303+00
