id,organization_id,team_member_id,date,status,check_in,check_out,created_at,convex_record_id,attendance_id,overtime_hours
2b93101b-a00e-43a9-ac4d-4424ae57b4b3,00000000-0000-0000-0000-000000000001,9c20c187-fe47-4647-a49b-6825e23b7920,2026-03-11,present,16:33:05,16:33:11,2026-04-22 08:45:50.763395+00,null,14c63358-ef54-4ea0-90cd-dece3f84b78f,null
8ca2b334-f52c-499c-9ab5-22f251cb5ed4,00000000-0000-0000-0000-000000000001,b21e8a0e-5076-9666-21ba-fb6b06140f1b,2026-03-11,late,16:33:05,16:33:11,2026-06-29 05:42:16.803725+00,j57dx5qpfnmvj6ptar7q9p212d82pq3n,5b40015a-7401-4b95-900c-bd42084feab5,null
c98e2086-e674-4015-837a-e66fd755beb6,00000000-0000-0000-0000-000000000001,1da9e75d-51ab-4a53-9fc5-222ba2c12524,2026-03-11,present,19:10:00,null,2026-04-22 08:45:50.763395+00,null,06d4564b-d748-439f-bf7e-25acbca83e08,null
cd574f57-6a94-4f87-bc73-3e918f7e2485,00000000-0000-0000-0000-000000000001,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,2026-03-11,late,19:10:00,null,2026-06-29 05:42:17.590675+00,j5769j1f0x2y4hyj9hn15sz23x82qb24,bbbe5be2-b126-494b-b495-bb5fa7d54f87,null
08a047d2-f7be-40ff-a926-cc4f5083e9ae,00000000-0000-0000-0000-000000000001,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,2026-03-12,late,10:28:00,null,2026-06-29 05:42:14.93672+00,j57428we8wyjpgph6p4ncggnz582rwsy,1e6c217a-971c-4f02-8076-125018bd53cb,null
2234881e-1eab-45e7-b491-30f486bec7d4,00000000-0000-0000-0000-000000000001,b21e8a0e-5076-9666-21ba-fb6b06140f1b,2026-03-12,late,10:29:00,null,2026-06-29 05:42:15.759521+00,j576ae15a5krjn0p5wwvrarqzh82raj2,ad29c203-8554-43ca-a7d6-eb09646586bf,null
4884be6c-34c6-4b98-8383-9696899e1202,00000000-0000-0000-0000-000000000001,8a65fb30-74f7-424e-8a29-62f0934ea6c0,2026-03-12,present,11:57:00,null,2026-04-22 08:45:50.763395+00,null,1001b792-805e-48f8-b422-8c24ad037b48,null
95957ede-0335-4eec-b2c2-669ce8d01624,00000000-0000-0000-0000-000000000001,1da9e75d-51ab-4a53-9fc5-222ba2c12524,2026-03-12,present,10:28:00,null,2026-04-22 08:45:50.763395+00,null,29212f04-b4a6-4c13-bb84-6f2b87d29c18,null
a9b34ab1-3d91-4f33-8f33-6b67c6396ec3,00000000-0000-0000-0000-000000000001,9c20c187-fe47-4647-a49b-6825e23b7920,2026-03-12,present,10:29:00,null,2026-04-22 08:45:50.763395+00,null,040425f8-f80e-4327-8c34-86148d5b9727,null
543107cc-1e2c-480c-8117-2f8475629587,00000000-0000-0000-0000-000000000001,0d761fba-8e14-c940-592a-c7e45b4a1f09,2026-03-14,present,11:01:00,null,2026-04-22 08:45:50.763395+00,null,e701d512-5d40-46bd-a5e7-a47b7b1bea41,null
