id,organization_id,user_id,gender,designation,department,joining_date,id_proof_type,city,state,pincode,bank_name,salary_amount,status,created_at,exit_date,exit_type,exit_reason,free_leave_days,department_id,work_start_time,work_hours_per_day
4a7430c0-9ad4-4148-9590-8ccd9020e71d,00000000-0000-0000-0000-000000000001,null,null,null,null,null,null,null,null,null,null,0,inactive,2026-04-10 10:03:30.290216+00,2026-02-11,resigned,null,0,null,09:00:00,8
274203e6-35e8-4868-8bd2-9908f516b497,00000000-0000-0000-0000-000000000001,de767fe3-598a-48f9-a49d-6fc0bf405721,Mr,Property Care Taker,Admin,2026-03-28,,Chennai,Tamil Nadu,600041,Karur Vysya Bank,25000,inactive,2026-03-31 05:10:12.616506+00,2026-04-01,resigned,null,0,null,09:00:00,8
8a65fb30-74f7-424e-8a29-62f0934ea6c0,00000000-0000-0000-0000-000000000001,null,asd,null,null,null,null,null,null,null,null,0,inactive,2026-04-10 10:01:02.453822+00,2026-04-03,resigned,null,0,null,09:00:00,8
caa1b17f-0db5-461e-839a-11c3d9d05c03,00000000-0000-0000-0000-000000000001,null,null,asd,asd,null,asdasd,null,null,null,null,0,inactive,2026-04-10 09:59:49.492853+00,2026-05-01,resigned,null,0,null,09:00:00,8
b21e8a0e-5076-9666-21ba-fb6b06140f1b,00000000-0000-0000-0000-000000000001,null,Miss,Developer,null,null,null,null,null,null,null,18000,inactive,2026-03-18 10:52:50.153175+00,2026-05-26,terminated,test,0,null,09:00:00,8
9c20c187-fe47-4647-a49b-6825e23b7920,00000000-0000-0000-0000-000000000001,8c42685b-f2df-4dec-96bd-0e77b715e33e,female,Accounts,Vista Heights - Tiruvanmiyur,2025-11-01,,,,,,21000,inactive,2026-03-17 06:44:22.200623+00,2026-08-04,terminated,terminated,0,02a737ec-25c8-4f0e-82af-15a6e7d70109,09:30:00,8
0d761fba-8e14-c940-592a-c7e45b4a1f09,00000000-0000-0000-0000-000000000001,9348f230-33b9-441c-b9ef-48a54e9d7407,female,null,Management-Owners,null,null,null,null,null,null,0,active,2026-03-18 10:55:46.621754+00,null,null,null,0,be15cc49-7870-409d-9eab-a5332cdfa674,09:00:00,8
15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,00000000-0000-0000-0000-000000000001,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,male,Developer,Anvastech - RRT,null,null,null,null,null,null,18000,active,2026-03-18 10:50:38.264405+00,null,null,null,0,f4257946-9029-47cb-8dba-38f2d1381f4a,09:30:00,8
1876cd3b-9ca7-41aa-ae62-761a15d87153,00000000-0000-0000-0000-000000000001,null,Mr,null,Anvastech - RRT,null,,,,,,15000,active,2026-07-07 12:29:07.92477+00,null,null,null,0,f4257946-9029-47cb-8dba-38f2d1381f4a,09:30:00,8
1da9e75d-51ab-4a53-9fc5-222ba2c12524,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,Mr,Maintenance Team,Vista Heights - Tiruvanmiyur,null,,,,622204,,35000,active,2026-03-18 09:22:20.252704+00,null,null,null,0,02a737ec-25c8-4f0e-82af-15a6e7d70109,09:30:00,8
2ce16d52-adfd-418f-9ac1-b6f042e0fd22,00000000-0000-0000-0000-000000000001,null,Mr,Data Scientist,Anvastech - RRT,null,,Chennai,Tamil Nadu,,,15000,active,2026-07-06 10:34:47.140394+00,null,null,null,0,f4257946-9029-47cb-8dba-38f2d1381f4a,09:30:00,8
