id,organization_id,team_member_id,month,working_days,present_days,base_salary,earned_salary,advance_deducted,other_deductions,net_payable,status,created_at
6f2b75cd-babc-4e73-8f8d-e07dc1b08e1a,00000000-0000-0000-0000-000000000001,39523891-bab0-6a9f-129b-2f5b51ea3e37,2026-04,30,30,0,0.00,0,0,0.00,paid,2026-05-15 08:49:20.115453+00
f0107cb3-167f-44bd-93dc-2cf3870cc582,00000000-0000-0000-0000-000000000001,b21e8a0e-5076-9666-21ba-fb6b06140f1b,2026-05,31,30,18000,17419.35,0,0,17419.35,paid,2026-05-16 07:17:35.266154+00
a9d41226-2ba6-4bf7-8e11-bc1c7abf2a73,00000000-0000-0000-0000-000000000001,b21e8a0e-5076-9666-21ba-fb6b06140f1b,2026-04,31,29,18000,16838.71,0,0,16838.71,paid,2026-05-20 06:42:13.205244+00
10940997-294a-445d-aeb9-c53e1da0a72e,00000000-0000-0000-0000-000000000001,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,2026-04,26,26,18000,18000.00,0,0,18000.00,paid,2026-05-22 13:02:10.921476+00
bcc9042d-93b8-4805-8d09-e98c699d14d6,00000000-0000-0000-0000-000000000001,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,2026-03,26,24,18000,16615.38,0,0,16615.38,draft,2026-05-22 13:02:11.269661+00
025d744c-cdfa-4e5e-afce-509192b766dc,00000000-0000-0000-0000-000000000001,b21e8a0e-5076-9666-21ba-fb6b06140f1b,2026-03,31,28,18000,16258.06,0,0,16258.06,paid,2026-05-22 13:04:55.309877+00
0452ae47-3752-4275-a6e4-74755cfabeaf,00000000-0000-0000-0000-000000000001,3b4c72de-80d1-4df4-8fbf-1147100d54dc,2026-04,26,24,16000,14769.23,0,0,14769.23,draft,2026-05-22 13:05:23.955875+00
14620097-d6d1-4046-bf02-d8d2464995c1,00000000-0000-0000-0000-000000000001,9c20c187-fe47-4647-a49b-6825e23b7920,2026-04,26,26,21000,21000.00,0,0,21000.00,draft,2026-05-22 13:05:28.0918+00
e08c15d3-ca77-417c-aa0f-95d8636d7c52,00000000-0000-0000-0000-000000000001,9c20c187-fe47-4647-a49b-6825e23b7920,2026-03,26,25,21000,20192.31,0,0,20192.31,draft,2026-05-22 13:05:28.370626+00
7c7d4392-a574-408b-9fda-a6208d43e730,00000000-0000-0000-0000-000000000001,9c20c187-fe47-4647-a49b-6825e23b7920,2026-02,26,8,21000,6461.54,0,0,6461.54,draft,2026-05-22 13:05:28.637569+00
