id,organization_id,user_id,phone_hash,gender,id_proof_type,company_name,designation,kyc_completed,created_at,staying_status,food_preference,relation_type,city,pincode,state,age,profession,company_city,company_pincode,company_state,date_of_joining,course,bank_name,bank_branch,tenant_rating,rating_last_computed,property_id
00af40b2-545a-c400-060e-9eba5e004ea3,00000000-0000-0000-0000-000000000001,a511b46a-10b8-465e-bb0a-278862caf056,7fdc4be5bfdbb5a3e0b62324bc57ec53,Male,null,null,null,null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,2026-08-03 09:34:02.186+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
00ff5468-3680-2a12-23e4-82855ab3c697,00000000-0000-0000-0000-000000000001,655d3b51-faec-4afe-8f59-fc6d662ffe5e,a972b12840757c080de5b99280e0ea30,Male,null,"Acabes International ","Technical Associate ",null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2026-08-03 09:34:02.17+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
011b7d1c-5697-5394-c05b-fa0473640657,00000000-0000-0000-0000-000000000001,5005372e-bed6-4648-b22a-7f644d5d678f,6dba864c2e74d756f49b961e926f5a2e,Male,null,"Pravartak ","Program consultant ",null,2025-05-05 04:45:36+00,staying,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2026-08-03 09:34:02.148+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
01426448-b911-b1b8-ce7d-46e4a4c39abd,00000000-0000-0000-0000-000000000001,a511b46a-10b8-465e-bb0a-278862caf056,579684990f566a4e714d66a6978676ab,Male,null,Tcs,Ast,null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,2026-08-03 09:34:02.105+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
02295215-68ff-b712-391f-44370ddab3fc,00000000-0000-0000-0000-000000000001,a511b46a-10b8-465e-bb0a-278862caf056,4d1ed0a73ba984b5a81a769440752850,Female,null,Jman group,Software Engineer,null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,2026-08-03 09:34:02.201+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
024cbfa9-4c24-ccad-9d51-c10966293351,00000000-0000-0000-0000-000000000001,a511b46a-10b8-465e-bb0a-278862caf056,4e6f1f7c339cf1de4b73d97fa7a97678,Male,null,CAMS,Senior Manager,null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,2026-08-03 09:34:02.171+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
0278721a-a690-833b-298a-16a351fb7a3a,00000000-0000-0000-0000-000000000001,5bc6409a-f4ff-4396-bb7a-341df3047719,246439f9a675b16cc40c10a504bead5a,Female,null,null,null,null,2025-05-05 04:45:36+00,staying,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2026-08-03 09:34:02.145+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
02827bf2-c0f6-ffb5-81c6-2afad0f4c7c3,00000000-0000-0000-0000-000000000001,a511b46a-10b8-465e-bb0a-278862caf056,d5a81aa0f6e74a53a4b9276a90747514,Male,null,Wood india pvt ltd,Sr electrical engineer,null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,2026-08-03 09:34:02.204+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
02b429ce-a6d5-6fef-b9c9-9bf315c162d2,00000000-0000-0000-0000-000000000001,a511b46a-10b8-465e-bb0a-278862caf056,0f8215916eb961e85a65d7c625db8fd3,Male,null,null,null,null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,2026-08-03 09:34:02.17+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
0340956c-c19a-d700-7d78-cea190ab08b0,00000000-0000-0000-0000-000000000001,a511b46a-10b8-465e-bb0a-278862caf056,ba7c4e4e85edb2ce0ceb10090cdda2f8,Female,null,Nift,APP,null,2025-05-05 04:45:36+00,exited,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,2026-08-03 09:34:01.928+00,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9
