organization_id,entry_date,period,journal_entry_id,source_table,source_id,is_reversal_of,account_id,account_code,account_name,account_type,normal_balance,parent_code,parent_name,party_kind,party_id,allotment_id,property_id,apartment_id,bed_id,debit,credit,signed_amount
00000000-0000-0000-0000-000000000001,2019-11-03,2019-11,4830838a-e3c3-4a73-83d5-cf9295c5a133,manual,ae815367-edc6-4c09-a07e-5fa6303dc14b,null,619d1416-20dc-45a0-83b1-6e8180e208ab,1200,Accounts Receivable - Tenants,ASSET,DEBIT,1000,Assets,tenant,d178a884-0bd1-601d-4cd1-042bac71c6db,ae815367-edc6-4c09-a07e-5fa6303dc14b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,a361bd0d-c2c1-2aee-6303-d65de004edd0,a4def813-d3a1-fa98-de2f-18ad2a9699a7,1000.00,0.00,1000.00
00000000-0000-0000-0000-000000000001,2019-11-03,2019-11,4830838a-e3c3-4a73-83d5-cf9295c5a133,manual,ae815367-edc6-4c09-a07e-5fa6303dc14b,null,45811f76-4edf-464e-9407-2e66557dacb0,4300,Onboarding Fees,INCOME,CREDIT,4000,Operating Income,tenant,d178a884-0bd1-601d-4cd1-042bac71c6db,ae815367-edc6-4c09-a07e-5fa6303dc14b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,a361bd0d-c2c1-2aee-6303-d65de004edd0,a4def813-d3a1-fa98-de2f-18ad2a9699a7,0.00,1000.00,1000.00
00000000-0000-0000-0000-000000000001,2019-11-03,2019-11,658870d9-c968-4dfa-a722-88fd04672fca,manual,202f7bf7-ad1e-498a-bc0a-c74c7285661e,null,619d1416-20dc-45a0-83b1-6e8180e208ab,1200,Accounts Receivable - Tenants,ASSET,DEBIT,1000,Assets,tenant,d178a884-0bd1-601d-4cd1-042bac71c6db,ae815367-edc6-4c09-a07e-5fa6303dc14b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,a361bd0d-c2c1-2aee-6303-d65de004edd0,a4def813-d3a1-fa98-de2f-18ad2a9699a7,11500.00,0.00,11500.00
00000000-0000-0000-0000-000000000001,2019-11-03,2019-11,658870d9-c968-4dfa-a722-88fd04672fca,manual,202f7bf7-ad1e-498a-bc0a-c74c7285661e,null,b21e04ed-5d41-43b5-af47-21fb7e505c59,2100,Tenant Deposits Held,LIABILITY,CREDIT,2000,Liabilities,tenant,d178a884-0bd1-601d-4cd1-042bac71c6db,ae815367-edc6-4c09-a07e-5fa6303dc14b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,a361bd0d-c2c1-2aee-6303-d65de004edd0,a4def813-d3a1-fa98-de2f-18ad2a9699a7,0.00,11500.00,11500.00
00000000-0000-0000-0000-000000000001,2021-12-05,2021-12,7088c4b9-9bfb-47a4-9a64-f27b346c50ba,manual,460261c6-c1c2-4654-81fa-19637f3602a8,null,619d1416-20dc-45a0-83b1-6e8180e208ab,1200,Accounts Receivable - Tenants,ASSET,DEBIT,1000,Assets,tenant,4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,460261c6-c1c2-4654-81fa-19637f3602a8,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,82b270bf-e567-2deb-5ef3-495baafd7645,a99a7569-c4ba-31c0-62a9-b5fdc33d6863,1000.00,0.00,1000.00
00000000-0000-0000-0000-000000000001,2021-12-05,2021-12,7088c4b9-9bfb-47a4-9a64-f27b346c50ba,manual,460261c6-c1c2-4654-81fa-19637f3602a8,null,45811f76-4edf-464e-9407-2e66557dacb0,4300,Onboarding Fees,INCOME,CREDIT,4000,Operating Income,tenant,4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,460261c6-c1c2-4654-81fa-19637f3602a8,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,82b270bf-e567-2deb-5ef3-495baafd7645,a99a7569-c4ba-31c0-62a9-b5fdc33d6863,0.00,1000.00,1000.00
00000000-0000-0000-0000-000000000001,2021-12-05,2021-12,ba73031e-7931-4a30-b109-c38693f6eea4,manual,fa2ec018-3a9e-4bf2-9580-bffa25090acc,null,619d1416-20dc-45a0-83b1-6e8180e208ab,1200,Accounts Receivable - Tenants,ASSET,DEBIT,1000,Assets,tenant,4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,460261c6-c1c2-4654-81fa-19637f3602a8,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,82b270bf-e567-2deb-5ef3-495baafd7645,a99a7569-c4ba-31c0-62a9-b5fdc33d6863,13000.00,0.00,13000.00
00000000-0000-0000-0000-000000000001,2021-12-05,2021-12,ba73031e-7931-4a30-b109-c38693f6eea4,manual,fa2ec018-3a9e-4bf2-9580-bffa25090acc,null,b21e04ed-5d41-43b5-af47-21fb7e505c59,2100,Tenant Deposits Held,LIABILITY,CREDIT,2000,Liabilities,tenant,4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,460261c6-c1c2-4654-81fa-19637f3602a8,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,82b270bf-e567-2deb-5ef3-495baafd7645,a99a7569-c4ba-31c0-62a9-b5fdc33d6863,0.00,13000.00,13000.00
00000000-0000-0000-0000-000000000001,2021-12-05,2021-12,e25d544d-a231-422e-a55a-b2e218268e1b,tenant_adjustments,3d2aa7d1-ec49-4500-bd50-b442c5e6e2f7,null,619d1416-20dc-45a0-83b1-6e8180e208ab,1200,Accounts Receivable - Tenants,ASSET,DEBIT,1000,Assets,tenant,4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,460261c6-c1c2-4654-81fa-19637f3602a8,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,82b270bf-e567-2deb-5ef3-495baafd7645,a99a7569-c4ba-31c0-62a9-b5fdc33d6863,0.00,1000.00,-1000.00
00000000-0000-0000-0000-000000000001,2021-12-05,2021-12,e25d544d-a231-422e-a55a-b2e218268e1b,tenant_adjustments,3d2aa7d1-ec49-4500-bd50-b442c5e6e2f7,null,93fce0a7-7c35-4f0a-be1b-3cc2c28fe38e,4900,Other Income,INCOME,CREDIT,4000,Operating Income,null,null,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,82b270bf-e567-2deb-5ef3-495baafd7645,a99a7569-c4ba-31c0-62a9-b5fdc33d6863,1000.00,0.00,-1000.00
