schema_name,routine_name,arguments,return_type,kind,language,security_definer,source_length
public,get_tenant_punctuality,"p_organization_id uuid, p_from text, p_to text",jsonb,function,sql,false,9916
public,build_invoice_lines,p_invoice_id uuid,jsonb,function,plpgsql,false,8037
public,merge_tenants,"p_primary_id uuid, p_secondary_id uuid, p_field_values jsonb",jsonb,function,plpgsql,true,7376
public,seed_coa_for_new_org,,trigger,function,plpgsql,false,5785
public,financial_integrity_check,p_organization_id uuid,jsonb,function,plpgsql,true,5364
public,build_adjustment_lines,p_adj_id uuid,jsonb,function,plpgsql,false,5146
public,build_receipt_lines,p_receipt_id uuid,jsonb,function,plpgsql,false,4969
public,replace_invoices_atomic,"p_org_id uuid, p_billing_month text, p_allotment_ids uuid[], p_invoices jsonb, p_line_items jsonb, p_eb_shares jsonb, p_replacement_targets jsonb",jsonb,function,plpgsql,true,4929
public,trg_owner_payment_journal_post,,trigger,function,plpgsql,true,4790
public,build_settlement_lines,p_settlement_id uuid,jsonb,function,plpgsql,false,4577
public,reconcile_exit_settlement,"p_allotment_id uuid, p_exit_date date, p_refund_amount numeric, p_refund_date date, p_refund_bank_id uuid, p_refund_reference text",jsonb,function,plpgsql,true,4414
public,replace_invoices_atomic,"p_org_id uuid, p_billing_month text, p_allotment_ids uuid[], p_invoices jsonb, p_line_items jsonb, p_eb_shares jsonb",jsonb,function,plpgsql,true,4222
public,run_je_integrity_checks,,"TABLE(check_name text, observed_value text, expected_value text, status text)",function,plpgsql,false,3521
public,resolve_ticket_asset_id,"p_apartment_id uuid, p_bed_id uuid, p_issue_type_id uuid",uuid,function,plpgsql,true,3463
public,purge_allotment_transactions,p_allotment_id uuid,jsonb,function,plpgsql,true,3059
public,build_expense_lines,p_expense_id uuid,jsonb,function,plpgsql,false,3040
public,get_account_drilldown,"p_org uuid, p_account_id uuid, p_from date, p_to date, p_include_descendants boolean","TABLE(line_id uuid, journal_entry_id uuid, entry_date date, period text, description text, source_table text, source_id uuid, debit numeric, credit numeric, memo text, account_id uuid, account_code text, account_name text, bank_account_id uuid, bank_name text, bank_account_number text, party_kind text, party_id uuid, tenant_name text, bed_code text, apartment_code text)",function,sql,true,3012
public,log_ticket_changes,,trigger,function,plpgsql,true,2944
public,get_market_competitors,"p_organization_id uuid, p_limit integer",jsonb,function,plpgsql,true,2918
public,build_owner_payment_lines,"p_owner_payment_id uuid, p_phase text",jsonb,function,plpgsql,false,2874
public,recompute_team_salary_bill_from_attendance,"p_team_member_id uuid, p_month text",void,function,plpgsql,true,2742
public,get_account_rollup,"p_org uuid, p_from date, p_to date","TABLE(organization_id uuid, account_id uuid, code text, name text, account_type account_type, normal_balance normal_balance, parent_id uuid, total_debit_rollup numeric, total_credit_rollup numeric, balance_rollup numeric, cum_total_debit_rollup numeric, cum_total_credit_rollup numeric, cum_balance_rollup numeric)",function,sql,true,2571
public,get_trial_balance_detailed,"p_org uuid, p_from date, p_to date","TABLE(organization_id uuid, account_id uuid, code text, name text, account_type account_type, normal_balance normal_balance, parent_id uuid, depth integer, root_code text, root_name text, total_debit numeric, total_credit numeric, balance numeric, cum_total_debit numeric, cum_total_credit numeric, cum_balance numeric, is_active boolean)",function,sql,true,2555
public,build_eb_payment_lines,p_eb_payment_id uuid,jsonb,function,plpgsql,false,2283
public,edit_tenant_ledger_entry_amount,"p_je_id uuid, p_new_amount numeric",jsonb,function,plpgsql,true,2219
public,reverse_journal_entry,"p_je_id uuid, p_reason text, p_date date",uuid,function,plpgsql,true,2204
public,consume_inventory_fifo,"p_maintenance_item_id uuid, p_required_quantity numeric, p_ticket_id uuid, p_usage_source text, p_remarks text",jsonb,function,plpgsql,true,2190
public,post_journal_entry,"p_org uuid, p_date date, p_description text, p_source_table text, p_source_id uuid, p_lines jsonb, p_metadata jsonb, p_is_reversal_of uuid",uuid,function,plpgsql,true,2126
public,kyc_submit_tenant,"_organization_id uuid, _property_id uuid, _payload jsonb",uuid,function,plpgsql,true,2120
public,build_asset_lines,p_asset_id uuid,jsonb,function,plpgsql,false,2000
public,trg_eb_payment_journal_post,,trigger,function,plpgsql,true,1975
public,build_asset_payment_lines,p_asset_payment_id uuid,jsonb,function,plpgsql,false,1952
public,trg_asset_payment_journal_post,,trigger,function,plpgsql,true,1752
public,trg_asset_journal_post,,trigger,function,plpgsql,true,1688
public,get_expansion_opportunities,"p_organization_id uuid, p_city text, p_limit integer",jsonb,function,plpgsql,true,1629
public,sync_attendance_log_to_team_attendance,,trigger,function,plpgsql,true,1615
public,generate_maintenance_ticket_number,,trigger,function,plpgsql,true,1585
public,delete_tenant_ledger_entry,"p_je_id uuid, p_reason text",jsonb,function,plpgsql,true,1569
public,check_org_quota,"p_org_id uuid, p_resource text",jsonb,function,plpgsql,true,1529
public,_export_assert_caller,p_organization_id uuid,void,function,plpgsql,true,1486
public,close_accounting_period,"p_organization_id uuid, p_period text, p_notes text",jsonb,function,plpgsql,true,1476
public,get_eligible_assignees,_exclude_user_id uuid,"TABLE(team_member_id uuid, resolved_user_id uuid, display_name text, role text)",function,sql,true,1437
public,get_market_benchmark_v1,"p_organization_id uuid, p_locality_id uuid, p_room_type_label text",jsonb,function,plpgsql,true,1354
public,next_receipt_number,"p_org uuid, p_property uuid, p_date date",jsonb,function,plpgsql,true,1339
public,resolve_expense_gl_account,p_expense_id uuid,uuid,function,plpgsql,false,1307
public,cleanup_offline_kyc_expired,,jsonb,function,plpgsql,true,1141
public,ensure_issue_type_expense_mapping,"_org_id uuid, _issue_type_id uuid",uuid,function,plpgsql,true,1075
public,upsert_tracked_locality,"p_organization_id uuid, p_locality_name text, p_city text, p_state text",jsonb,function,plpgsql,true,960
public,reopen_accounting_period,"p_organization_id uuid, p_period text, p_reason text",jsonb,function,plpgsql,true,921
public,get_market_summary_v1,p_organization_id uuid,jsonb,function,plpgsql,true,919
public,expense_clear_resolution_on_delete,,trigger,function,plpgsql,true,908
public,trg_expense_alloc_journal_repost,,trigger,function,plpgsql,true,890
public,export_dataset_batch,"p_organization_id uuid, p_entity text, p_offset integer, p_limit integer",jsonb,function,plpgsql,true,840
public,get_market_benchmark_v1,"p_locality_id uuid, p_room_type_label text, p_city text",jsonb,function,plpgsql,true,805
public,_seed_coa,"p_org uuid, p_code text, p_name text, p_type account_type, p_normal normal_balance, p_parent_code text, p_requires_party boolean, p_requires_allot boolean, p_party_kind party_kind",uuid,function,plpgsql,false,781
public,normalize_attendance_status,p_status text,text,function,plpgsql,false,750
public,match_tenant_phone_digits,"p_digits text, p_organization_id uuid","TABLE(id uuid, organization_id uuid, full_name text, phone text, staying_status text)",function,sql,true,737
public,toggle_city_wide_scan,"p_organization_id uuid, p_city text",boolean,function,plpgsql,true,701
public,get_tracked_localities,p_organization_id uuid,jsonb,function,plpgsql,true,628
public,find_journal_entry_for_source,"p_source_table text, p_source_id uuid",uuid,function,sql,false,561
public,get_expansion_opportunities,"p_city text, p_limit integer",jsonb,function,plpgsql,true,543
public,ensure_maintenance_expense_category,_org_id uuid,uuid,function,plpgsql,true,502
market,search_reviews_semantic,"p_organization_id uuid, p_embedding vector, p_limit integer, p_locality_id uuid","TABLE(review_id uuid, competitor_id uuid, review_text text, rating numeric, similarity numeric)",function,sql,false,498
public,sync_attendance_log_delete_team_attendance,,trigger,function,plpgsql,true,485
market,find_similar_properties,"p_organization_id uuid, p_embedding vector, p_limit integer, p_locality_id uuid","TABLE(competitor_id uuid, name text, locality_id uuid, locality_name text, similarity numeric)",function,sql,false,485
public,enforce_receipt_allocation_cap,,trigger,function,plpgsql,false,469
public,search_market_localities,"p_query text, p_limit integer",jsonb,function,plpgsql,true,431
public,calculate_next_run_date,"p_frequency text, p_from_date timestamp with time zone",timestamp with time zone,function,plpgsql,false,427
public,validate_bed_status_no_overlap,,trigger,function,plpgsql,false,424
public,team_attendance_recompute_salary_bill,,trigger,function,plpgsql,true,419
public,handle_new_user,,trigger,function,plpgsql,true,408
public,resolve_adjustment_income_account,"p_org uuid, p_category text, p_type text",uuid,function,plpgsql,false,373
public,export_dataset_entities,p_organization_id uuid,jsonb,function,plpgsql,true,358
public,validate_notice_exit_date,,trigger,function,plpgsql,false,355
public,payroll_period_bounds,p_month text,"TABLE(period_start date, period_end date)",function,plpgsql,false,344
public,export_dataset_count,"p_organization_id uuid, p_entity text",bigint,function,plpgsql,true,342
public,log_accounting_migration,"p_phase text, p_severity text, p_message text, p_payload jsonb, p_sqlstate text",void,function,plpgsql,false,333
public,bank_coa_id,"p_org uuid, p_bank_account_id uuid",uuid,function,plpgsql,false,321
public,generate_ticket_number,,trigger,function,plpgsql,false,318
public,log_ticket_created,,trigger,function,plpgsql,true,301
public,enforce_locked_immutability,,trigger,function,plpgsql,false,289
public,maintenance_items_sync_legacy_name,,trigger,function,plpgsql,false,287
public,_export_resolve_view,p_entity text,text,function,plpgsql,true,277
public,payroll_month_for_date,p_date date,text,function,plpgsql,false,257
public,_export_is_admin_context,,boolean,function,sql,true,255
public,get_my_profile,p_user_id uuid,jsonb,function,sql,true,251
public,toggle_tracked_locality,"p_tracking_id uuid, p_organization_id uuid",boolean,function,plpgsql,true,248
market,normalize_amenity_semantic,"p_embedding vector, p_threshold numeric",text,function,sql,false,234
public,attendance_status_pay_units,p_status text,numeric,function,plpgsql,false,211
public,is_admin_user,_user_id uuid,boolean,function,sql,true,159
public,try_billing_lock,p_key text,boolean,function,plpgsql,false,148
public,remove_tracked_locality,"p_tracking_id uuid, p_organization_id uuid",void,function,plpgsql,true,128
public,update_tenant_full_name,,trigger,function,plpgsql,false,119
public,has_role,"_user_id uuid, _role app_role",boolean,function,sql,true,115
public,coa_id,"p_org uuid, p_code text",uuid,function,sql,false,114
public,has_any_role,"_user_id uuid, _roles app_role[]",boolean,function,sql,true,111
public,cleanup_expired_otps,,void,function,sql,true,80
public,get_user_org_id,_user_id uuid,uuid,function,sql,true,75
public,release_billing_lock,p_key text,void,function,plpgsql,false,74
public,update_updated_at_column,,trigger,function,plpgsql,false,57
public,touch_offline_kyc_pending_updated_at,,trigger,function,plpgsql,false,57
public,wps_set_updated_at,,trigger,function,plpgsql,false,57
public,set_updated_at,,trigger,function,plpgsql,false,52
market,set_updated_at,,trigger,function,plpgsql,false,52
public,update_updated_at,,trigger,function,plpgsql,false,50
public,strict_word_similarity_dist_commutator_op,"text, text",real,function,c,false,41
public,strict_word_similarity_commutator_op,"text, text",boolean,function,c,false,36
public,date_to_period,p_date date,text,function,sql,false,35
public,word_similarity_dist_commutator_op,"text, text",real,function,c,false,34
