table_schema,table_name,trigger_name,trigger_function,level,timing,events,enabled,definition
market,competitor_properties,trg_competitor_properties_updated_at,set_updated_at,ROW,BEFORE,UPDATE,O,CREATE TRIGGER trg_competitor_properties_updated_at BEFORE UPDATE ON market.competitor_properties FOR EACH ROW EXECUTE FUNCTION market.set_updated_at()
market,competitor_room_types,trg_competitor_room_types_updated_at,set_updated_at,ROW,BEFORE,UPDATE,O,CREATE TRIGGER trg_competitor_room_types_updated_at BEFORE UPDATE ON market.competitor_room_types FOR EACH ROW EXECUTE FUNCTION market.set_updated_at()
public,asset_payments,trg_asset_payment_journal,trg_asset_payment_journal_post,ROW,AFTER,"INSERT,UPDATE",O,CREATE TRIGGER trg_asset_payment_journal AFTER INSERT OR UPDATE ON public.asset_payments FOR EACH ROW EXECUTE FUNCTION trg_asset_payment_journal_post()
public,asset_payments,trg_cascade_je_asset_payments,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_asset_payments AFTER DELETE ON public.asset_payments FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('asset_payments')
public,assets,trg_asset_journal,trg_asset_journal_post,ROW,AFTER,"INSERT,UPDATE",O,CREATE TRIGGER trg_asset_journal AFTER INSERT OR UPDATE ON public.assets FOR EACH ROW EXECUTE FUNCTION trg_asset_journal_post()
public,assets,trg_cascade_je_assets,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_assets AFTER DELETE ON public.assets FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('assets')
public,bed_status_history,trg_bed_status_no_overlap,validate_bed_status_no_overlap,ROW,BEFORE,"INSERT,UPDATE",O,CREATE TRIGGER trg_bed_status_no_overlap BEFORE INSERT OR UPDATE ON public.bed_status_history FOR EACH ROW EXECUTE FUNCTION validate_bed_status_no_overlap()
public,deposit_settlements,trg_cascade_je_deposit_settlements,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_deposit_settlements AFTER DELETE ON public.deposit_settlements FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('deposit_settlements')
public,deposit_settlements,trg_settlement_journal,trg_settlement_journal_post,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_settlement_journal AFTER INSERT OR DELETE OR UPDATE ON public.deposit_settlements FOR EACH ROW EXECUTE FUNCTION trg_settlement_journal_post()
public,deposit_settlements,trg_validate_deposit_settlement,validate_deposit_settlement,ROW,BEFORE,"INSERT,UPDATE",O,CREATE TRIGGER trg_validate_deposit_settlement BEFORE INSERT OR UPDATE ON public.deposit_settlements FOR EACH ROW EXECUTE FUNCTION validate_deposit_settlement()
public,eb_payments,trg_cascade_je_eb_payments,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_eb_payments AFTER DELETE ON public.eb_payments FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('eb_payments')
public,eb_payments,trg_eb_payment_journal,trg_eb_payment_journal_post,ROW,AFTER,"INSERT,UPDATE",O,CREATE TRIGGER trg_eb_payment_journal AFTER INSERT OR UPDATE ON public.eb_payments FOR EACH ROW EXECUTE FUNCTION trg_eb_payment_journal_post()
public,electricity_readings,trg_enforce_lock_elec,enforce_locked_immutability,ROW,BEFORE,UPDATE,O,CREATE TRIGGER trg_enforce_lock_elec BEFORE UPDATE ON public.electricity_readings FOR EACH ROW EXECUTE FUNCTION enforce_locked_immutability()
public,email_templates,update_email_templates_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_email_templates_updated_at BEFORE UPDATE ON public.email_templates FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,expense_bed_allocations,trg_expense_alloc_journal,trg_expense_alloc_journal_repost,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_expense_alloc_journal AFTER INSERT OR DELETE OR UPDATE ON public.expense_bed_allocations FOR EACH ROW EXECUTE FUNCTION trg_expense_alloc_journal_repost()
public,expenses,trg_cascade_je_expenses,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_expenses AFTER DELETE ON public.expenses FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('expenses')
public,expenses,trg_expense_journal,trg_expense_journal_post,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_expense_journal AFTER INSERT OR DELETE OR UPDATE ON public.expenses FOR EACH ROW EXECUTE FUNCTION trg_expense_journal_post()
public,expenses,trg_expense_sync_resolution,expense_sync_resolution,ROW,AFTER,"DELETE,UPDATE",O,CREATE TRIGGER trg_expense_sync_resolution AFTER DELETE OR UPDATE ON public.expenses FOR EACH ROW EXECUTE FUNCTION expense_sync_resolution()
public,invoices,trg_delete_invoice_journal_entries_on_invoice_delete,delete_invoice_journal_entries_on_invoice_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_delete_invoice_journal_entries_on_invoice_delete AFTER DELETE ON public.invoices FOR EACH ROW EXECUTE FUNCTION delete_invoice_journal_entries_on_invoice_delete()
public,invoices,trg_invoice_journal,trg_invoice_journal_post,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_invoice_journal AFTER INSERT OR DELETE OR UPDATE ON public.invoices FOR EACH ROW EXECUTE FUNCTION trg_invoice_journal_post()
public,journal_entries,trg_journal_entry_audit,log_journal_entry_post,ROW,AFTER,INSERT,O,CREATE CONSTRAINT TRIGGER trg_journal_entry_audit AFTER INSERT ON public.journal_entries DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION log_journal_entry_post()
public,journal_entries,trg_journal_entry_balanced,enforce_journal_balanced,ROW,AFTER,"INSERT,UPDATE",O,CREATE CONSTRAINT TRIGGER trg_journal_entry_balanced AFTER INSERT OR UPDATE ON public.journal_entries DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION enforce_journal_balanced()
public,journal_entries,trg_normalize_owner_payment_journal_dates,normalize_owner_payment_journal_dates,ROW,BEFORE,"INSERT,UPDATE",O,CREATE TRIGGER trg_normalize_owner_payment_journal_dates BEFORE INSERT OR UPDATE ON public.journal_entries FOR EACH ROW EXECUTE FUNCTION normalize_owner_payment_journal_dates()
public,journal_entries,trg_period_lock,enforce_period_lock,ROW,BEFORE,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_period_lock BEFORE INSERT OR DELETE OR UPDATE ON public.journal_entries FOR EACH ROW EXECUTE FUNCTION enforce_period_lock()
public,journal_lines,trg_guard_deposit_transfer_before_onboarding,guard_deposit_transfer_before_onboarding,ROW,BEFORE,INSERT,O,CREATE TRIGGER trg_guard_deposit_transfer_before_onboarding BEFORE INSERT ON public.journal_lines FOR EACH ROW EXECUTE FUNCTION guard_deposit_transfer_before_onboarding()
public,journal_lines,trg_subledger_completeness,enforce_subledger_completeness,ROW,BEFORE,"INSERT,UPDATE",O,CREATE TRIGGER trg_subledger_completeness BEFORE INSERT OR UPDATE ON public.journal_lines FOR EACH ROW EXECUTE FUNCTION enforce_subledger_completeness()
public,maintenance_items,maintenance_items_sync_legacy_name,maintenance_items_sync_legacy_name,ROW,BEFORE,"INSERT,UPDATE",O,CREATE TRIGGER maintenance_items_sync_legacy_name BEFORE INSERT OR UPDATE ON public.maintenance_items FOR EACH ROW EXECUTE FUNCTION maintenance_items_sync_legacy_name()
public,maintenance_items,update_maintenance_items_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_maintenance_items_updated_at BEFORE UPDATE ON public.maintenance_items FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,maintenance_tickets,trg_generate_maintenance_ticket_number,generate_maintenance_ticket_number,ROW,BEFORE,INSERT,O,CREATE TRIGGER trg_generate_maintenance_ticket_number BEFORE INSERT ON public.maintenance_tickets FOR EACH ROW EXECUTE FUNCTION generate_maintenance_ticket_number()
public,maintenance_tickets,trg_log_ticket_changes,log_ticket_changes,ROW,AFTER,UPDATE,O,CREATE TRIGGER trg_log_ticket_changes AFTER UPDATE ON public.maintenance_tickets FOR EACH ROW EXECUTE FUNCTION log_ticket_changes()
public,maintenance_tickets,trg_log_ticket_created,log_ticket_created,ROW,AFTER,INSERT,O,CREATE TRIGGER trg_log_ticket_created AFTER INSERT ON public.maintenance_tickets FOR EACH ROW EXECUTE FUNCTION log_ticket_created()
public,offline_kyc_pending,trg_offline_kyc_pending_updated_at,touch_offline_kyc_pending_updated_at,ROW,BEFORE,UPDATE,O,CREATE TRIGGER trg_offline_kyc_pending_updated_at BEFORE UPDATE ON public.offline_kyc_pending FOR EACH ROW EXECUTE FUNCTION touch_offline_kyc_pending_updated_at()
public,org_branding_settings,update_org_branding_settings_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_org_branding_settings_updated_at BEFORE UPDATE ON public.org_branding_settings FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,org_email_settings,update_org_email_settings_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_org_email_settings_updated_at BEFORE UPDATE ON public.org_email_settings FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,org_whatsapp_settings,update_org_whatsapp_settings_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_org_whatsapp_settings_updated_at BEFORE UPDATE ON public.org_whatsapp_settings FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,organization_subscriptions,update_org_subscriptions_updated_at,update_updated_at_column,ROW,BEFORE,UPDATE,O,CREATE TRIGGER update_org_subscriptions_updated_at BEFORE UPDATE ON public.organization_subscriptions FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,organizations,trg_seed_coa_for_new_org,seed_coa_for_new_org,ROW,AFTER,INSERT,O,CREATE TRIGGER trg_seed_coa_for_new_org AFTER INSERT ON public.organizations FOR EACH ROW EXECUTE FUNCTION seed_coa_for_new_org()
public,owner_payments,trg_cascade_je_owner_payments,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_owner_payments AFTER DELETE ON public.owner_payments FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('owner_payments')
public,owner_payments,trg_owner_payment_journal,trg_owner_payment_journal_post,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_owner_payment_journal AFTER INSERT OR DELETE OR UPDATE ON public.owner_payments FOR EACH ROW EXECUTE FUNCTION trg_owner_payment_journal_post()
public,receipt_allocations,trg_receipt_allocation_cap,enforce_receipt_allocation_cap,ROW,AFTER,"INSERT,UPDATE",O,CREATE TRIGGER trg_receipt_allocation_cap AFTER INSERT OR UPDATE ON public.receipt_allocations FOR EACH ROW EXECUTE FUNCTION enforce_receipt_allocation_cap()
public,receipts,trg_cascade_je_receipts,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_receipts AFTER DELETE ON public.receipts FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('receipts')
public,receipts,trg_ensure_booking_receipt_number,ensure_booking_receipt_number,ROW,BEFORE,INSERT,O,CREATE TRIGGER trg_ensure_booking_receipt_number BEFORE INSERT ON public.receipts FOR EACH ROW EXECUTE FUNCTION ensure_booking_receipt_number()
public,receipts,trg_receipt_journal,trg_receipt_journal_post,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_receipt_journal AFTER INSERT OR DELETE OR UPDATE ON public.receipts FOR EACH ROW EXECUTE FUNCTION trg_receipt_journal_post()
public,tenant_adjustments,trg_adjustment_journal,trg_adjustment_journal_post,ROW,AFTER,"INSERT,DELETE,UPDATE",O,CREATE TRIGGER trg_adjustment_journal AFTER INSERT OR DELETE OR UPDATE ON public.tenant_adjustments FOR EACH ROW EXECUTE FUNCTION trg_adjustment_journal_post()
public,tenant_adjustments,trg_cascade_je_tenant_adjustments,delete_journal_entries_on_source_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_cascade_je_tenant_adjustments AFTER DELETE ON public.tenant_adjustments FOR EACH ROW EXECUTE FUNCTION delete_journal_entries_on_source_delete('tenant_adjustments')
public,tenant_allotments,trg_sync_tenant_status,sync_tenant_staying_status,ROW,AFTER,"INSERT,UPDATE",O,CREATE TRIGGER trg_sync_tenant_status AFTER INSERT OR UPDATE OF staying_status ON public.tenant_allotments FOR EACH ROW EXECUTE FUNCTION sync_tenant_staying_status()
public,tenant_allotments,trg_sync_tenant_status_delete,sync_tenant_staying_status_on_delete,ROW,AFTER,DELETE,O,CREATE TRIGGER trg_sync_tenant_status_delete AFTER DELETE ON public.tenant_allotments FOR EACH ROW EXECUTE FUNCTION sync_tenant_staying_status_on_delete()
public,tenant_notices,trg_validate_notice_exit_date,validate_notice_exit_date,ROW,BEFORE,"INSERT,UPDATE",O,CREATE TRIGGER trg_validate_notice_exit_date BEFORE INSERT OR UPDATE OF exit_date ON public.tenant_notices FOR EACH ROW EXECUTE FUNCTION validate_notice_exit_date()
