receipt_id,receipt_number,payment_date,receipt_type,is_deleted,source_amount,ledger_amount,difference,entry_count,reversal_count
d4bc6a49-1cbd-4691-be39-cb5cca4197cc,VISTA/23-24/08/00003,2026-08-10,onboarding,false,43089.00,232356.00,189267.00,9,4
381520ec-78e9-4c2b-964f-a2a060eaedf9,VISTA/26-27/08/00084,2026-08-09,onboarding,false,40300.00,80242.00,39942.00,3,1
1883f5cd-e9da-4c6b-8372-31e437bf6851,VISTA/26-27/08/R00055,2026-08-01,payment,false,16856.00,50367.00,33511.00,5,2
98988935-e7e4-4bf3-8d5e-2dfe4c56bc65,VISTA/26-27/08/R00087,2026-08-06,payment,false,17143.00,50428.00,33285.00,5,2
bcf98b5c-3de6-4b13-a358-9ac2a646da28,VISTA/26-27/07/R02728,2026-07-31,payment,false,2400.00,24800.00,22400.00,3,1
8a8f7848-6c4b-44a4-a1ab-17140cdec764,VISTA/26-27/04/R00250,2026-04-29,payment,false,16627.45,0,-16627.45,0,0
1a386959-8fba-43cd-aaa0-f128033c7cf0,VISTA/26-27/08/00073,2026-08-16,booking,false,1000.00,2000.00,1000.00,3,1
42d57199-27da-4cf2-85db-f500fa72b15e,VISTA/26-27/07/00110,2026-08-10,booking,false,1000.00,2000.00,1000.00,3,1
3789971b-fdc3-4634-864f-fbc041e41b75,VISTA/26-27/08/R00062,2026-08-02,payment,false,19519.00,19919.00,400.00,1,0
118da474-0c47-402f-aba1-3d3e318f23e5,VISTA/26-27/08/R00156,2026-08-06,payment,false,17630.00,17577.00,-53.00,1,0
ec8a0992-d106-4426-9098-1ecdea3acdd8,VISTA/26-27/08/R00136,2026-08-05,payment,false,18042.00,18040.00,-2.00,1,0
