allotment_id,organization_id,staying_status,actual_exit_date,def1_allotment_balance_due,def2_tenant_transactions,def3_ledger_incl_reversals,def4_ledger_excl_reversals,drift_app_vs_ledger
29309a70-09a1-4c35-b877-ca27b04ec436,00000000-0000-0000-0000-000000000001,Staying,null,0,-33292.87,-52801.15,-52801.15,52801.15
14ec7431-95a9-40c9-b35f-afa87c3bd8fc,00000000-0000-0000-0000-000000000001,Exited,2024-10-01,33641,null,0.00,null,33641
20d5e9a6-73cd-4f5f-9b27-ba9a13e7864e,00000000-0000-0000-0000-000000000001,Staying,null,27930,0,0.00,0.00,27930.00
86f462a2-856c-4214-90c9-478d801f7838,00000000-0000-0000-0000-000000000001,Exited,2026-01-06,26582,2250,0.00,0.00,26582.00
3e77d5cd-7102-4a50-a5a1-f77aced5ebb8,00000000-0000-0000-0000-000000000001,Exited,2026-07-01,22653,null,0.00,0.00,22653.00
78f157e9-bdd7-480f-9648-2b00b519de3c,00000000-0000-0000-0000-000000000001,Exited,2026-01-10,0,-21750,-21750.00,-21750.00,21750.00
8a561990-e50b-4b93-b48e-7ee8bf0fbc67,00000000-0000-0000-0000-000000000001,Exited,2024-08-31,26876,26876,5126.00,5126.00,21750.00
9353da56-208c-4158-959f-29d5aee289f3,00000000-0000-0000-0000-000000000001,Exited,2024-12-23,20692,20692.00,-1058.00,-1058.00,21750.00
ed381183-4ca6-4302-84bc-e1e05958ed09,00000000-0000-0000-0000-000000000001,Exited,2026-06-30,20850,0,0.00,0.00,20850.00
f312b2ae-7f10-492c-9287-54120aec2b40,00000000-0000-0000-0000-000000000001,Exited,2026-05-30,20490,0,0.00,0.00,20490.00
6d852880-001e-41ee-b447-e94c58384795,00000000-0000-0000-0000-000000000001,Exited,2026-07-31,20086,0,0.00,0.00,20086.00
d2cd92f7-dd23-41a8-a665-1d8e656732e6,00000000-0000-0000-0000-000000000001,Exited,2026-06-05,19620,0,0.00,0.00,19620.00
dad1b29f-8aff-47de-904a-221021ab7353,00000000-0000-0000-0000-000000000001,Staying,null,19500,null,0.00,0.00,19500.00
