allotment_id,billing_month,invoice_type,duplicate_count,total,invoice_numbers
40c41229-cb7b-45da-8818-3433d1c20604,2025-04,regular,4,24291,"[""IMPORT/25-04/00124-1"",""IMPORT/25-04/00125-1"",""IMPORT/25-04/00126-1"",""IMPORT/25-04/00127-1""]"
10e76d13-8eb6-450a-9558-ea32a374cd59,2025-06,regular,4,13731,"[""IMPORT/25-06/00018-1"",""IMPORT/25-06/00019-1"",""IMPORT/25-06/00020-1"",""IMPORT/25-06/00021-1""]"
b9aaea14-9f05-4cef-bbc9-91fbcabeac1b,2024-04,regular,3,6050,"[""IMPORT/24-04/00253-0"",""IMPORT/24-04/00298-1"",""IMPORT/24-04/00299-1""]"
ea40fdca-3e27-466c-910c-99fef52b75d6,2024-06,regular,3,12550,"[""IMPORT/24-06/00352-1"",""IMPORT/24-06/00353-1"",""IMPORT/24-06/00354-1""]"
10f786c8-3837-4bf5-9d96-10b34c9cfbb6,2024-06,regular,3,8611,"[""IMPORT/24-06/00022-2"",""IMPORT/24-06/00023-2"",""IMPORT/24-06/00024-2""]"
aad9a3ed-094e-43a1-b64d-0e4f60c95c04,2024-08,regular,3,9959,"[""IMPORT/24-08/00236-0"",""IMPORT/24-08/00237-0"",""IMPORT/24-08/00238-0""]"
10f786c8-3837-4bf5-9d96-10b34c9cfbb6,2024-08,regular,3,15345,"[""IMPORT/24-08/00027-2"",""IMPORT/24-08/00028-2"",""IMPORT/24-08/00029-2""]"
5c202072-a66c-4bc5-8908-03d82ac2718d,2025-01,regular,3,13758,"[""IMPORT/25-01/00180-2"",""IMPORT/25-01/00181-2"",""IMPORT/25-01/00182-2""]"
e853e4fd-4532-458c-b497-5266ad57609c,2025-01,regular,3,13322,"[""IMPORT/25-01/00362-2"",""IMPORT/25-01/00363-2"",""IMPORT/25-01/00364-2""]"
4507404f-8056-48af-bccf-9df703e7d029,2025-02,regular,3,13537,"[""IMPORT/25-02/00143-0"",""IMPORT/25-02/00144-0"",""IMPORT/25-02/00145-0""]"
e270afca-14b5-4ced-bdcb-3722fdad9966,2025-02,regular,3,5858,"[""IMPORT/25-02/00343-0"",""IMPORT/25-02/00344-0"",""IMPORT/25-02/00345-0""]"
7a3b9b70-5ab2-46f2-9f96-d40563863bb9,2025-03,regular,3,7808,"[""IMPORT/25-03/00202-1"",""IMPORT/25-03/00203-1"",""IMPORT/25-03/00204-1""]"
e49d5b4d-fd58-4f0c-a779-2ef25bd8eeac,2025-04,regular,3,16044,"[""IMPORT/25-04/00367-3"",""IMPORT/25-04/00368-3"",""IMPORT/25-04/00369-3""]"
f4ee29e4-6c4d-4f65-8b5e-ce92721c36ac,2025-05,regular,3,9552,"[""IMPORT/25-05/00361-0"",""IMPORT/25-05/00362-0"",""IMPORT/25-05/00363-0""]"
52d6aec0-5afc-4403-ac70-23cf15308741,2025-05,regular,3,4827,"[""IMPORT/25-05/00144-2"",""IMPORT/25-05/00145-2"",""IMPORT/25-05/00146-2""]"
e49d5b4d-fd58-4f0c-a779-2ef25bd8eeac,2025-05,regular,3,19032,"[""IMPORT/25-05/00370-3"",""IMPORT/25-05/00371-3"",""IMPORT/25-05/00372-3""]"
8441d5c4-fdfc-4731-9e95-7af2570dc7ea,2025-05,regular,3,19070,"[""IMPORT/25-05/00215-1"",""IMPORT/25-05/00216-1"",""IMPORT/25-05/00217-1""]"
6496c482-6282-4094-be95-a55929573369,2025-06,regular,3,14389,"[""IMPORT/25-06/00191-3"",""IMPORT/25-06/00192-3"",""IMPORT/25-06/00193-3""]"
b6f67fc7-f321-4090-b196-9e5cb080fade,2025-06,regular,3,12250,"[""IMPORT/25-06/00293-1"",""IMPORT/25-06/00294-1"",""IMPORT/25-06/00295-1""]"
b46cb807-c10b-4429-97e3-b1f1484fa2e9,2025-06,regular,3,13150,"[""IMPORT/25-06/00122-4"",""IMPORT/25-06/00123-4"",""IMPORT/25-06/00124-4""]"
aad0f942-1ddf-47cf-ba72-32342002566d,2025-06,regular,3,13150,"[""IMPORT/25-06/00231-0"",""IMPORT/25-06/00232-0"",""IMPORT/25-06/00233-0""]"
98a505a9-d139-431f-b01e-b943795f434d,2025-06,regular,3,15626,"[""IMPORT/25-06/00117-4"",""IMPORT/25-06/00118-4"",""IMPORT/25-06/00119-4""]"
1603dbbe-906a-4637-b5f3-7b439534f396,2025-07,regular,3,9798,"[""IMPORT/25-07/00068-2"",""IMPORT/25-07/00069-2"",""IMPORT/25-07/00070-2""]"
aad9a3ed-094e-43a1-b64d-0e4f60c95c04,2025-07,regular,3,8897,"[""IMPORT/25-07/00249-0"",""IMPORT/25-07/00250-0"",""IMPORT/25-07/00251-0""]"
86bd0990-56e2-4bc9-97d0-f4794c3ea567,2025-08,regular,3,26139,"[""IMPORT/25-08/00240-2"",""IMPORT/25-08/00241-2"",""IMPORT/25-08/00242-2""]"
a19cb77a-2e51-4ca9-88b6-1c9423cd7b63,2025-08,regular,3,13452,"[""IMPORT/25-08/00292-3"",""IMPORT/25-08/00293-3"",""IMPORT/25-08/00294-3""]"
349407f1-b9ed-4f70-9e10-33aa675f85e6,2025-10,regular,3,6988,"[""IMPORT/25-10/00120-0"",""IMPORT/25-10/00121-0"",""IMPORT/25-10/00122-0""]"
f51128e3-e243-4a13-9c81-ebeab17cc897,2025-10,regular,3,9450,"[""IMPORT/25-10/00168-4"",""IMPORT/25-10/00169-4"",""IMPORT/25-10/00170-4""]"
c029ada8-f2e8-4017-816f-39ed5259c0e1,2025-10,regular,3,12645,"[""IMPORT/25-10/00303-1"",""IMPORT/25-10/00304-1"",""IMPORT/25-10/00305-1""]"
4f712d5e-a137-4d11-a1e4-eadf54abc093,2025-12,regular,3,14100,"[""IMPORT/25-12/00140-1"",""IMPORT/25-12/00141-1"",""IMPORT/25-12/00142-1""]"
90db06be-f710-455c-91a5-b5e863bb2caf,2025-12,regular,3,4992,"[""IMPORT/25-12/00283-2"",""IMPORT/25-12/00284-2"",""IMPORT/25-12/00285-2""]"
52af2eb2-0f97-484b-aa94-fae6a75d64ab,2026-02,regular,3,19808,"[""IMPORT/26-02/00129-2"",""IMPORT/26-02/00130-2"",""IMPORT/26-02/00131-2""]"
f395ecb5-f67d-431c-8735-291f7a05d552,2023-03,regular,2,10348,"[""IMPORT/23-03/00364-0"",""IMPORT/23-03/00365-0""]"
59864420-62d6-4d3b-9b98-6872f9821633,2023-04,regular,2,4897,"[""IMPORT/23-04/00148-2"",""IMPORT/23-04/00149-2""]"
abdf3e08-0e7d-4e9d-939e-2f4b77206a4a,2023-04,regular,2,4878,"[""IMPORT/23-04/00239-0"",""IMPORT/23-04/00240-0""]"
6eeeaa8d-a857-4a5d-bc20-06d00edbaedc,2023-05,regular,2,10966,"[""IMPORT/23-05/00030-1"",""IMPORT/23-05/00207-0""]"
9a28f02e-b541-46d1-a5fe-5391359b82fe,2023-06,regular,2,10328,"[""IMPORT/23-06/00210-0"",""IMPORT/23-06/00211-0""]"
0d1e4741-28d6-485f-9142-a15e4ff5c364,2023-06,regular,2,17524,"[""IMPORT/23-06/00030-3"",""IMPORT/23-06/00031-3""]"
44de4701-9ebc-4f66-9efb-71969131f583,2023-06,regular,2,14009,"[""IMPORT/23-06/00109-0"",""IMPORT/23-06/00110-0""]"
f6b29b1d-c950-46ae-a66f-fe48ad0eac52,2023-07,regular,2,4708,"[""IMPORT/23-07/00369-0"",""IMPORT/23-07/00370-0""]"
a89f3caa-40a6-4c67-a7c5-a35a16f96d24,2023-07,regular,2,8254,"[""IMPORT/23-07/00223-0"",""IMPORT/23-07/00224-0""]"
5f811af1-7d24-4112-8cad-e7245ea2634a,2023-09,regular,2,6436,"[""IMPORT/23-09/00139-0"",""IMPORT/23-09/00140-0""]"
c13bb755-c85e-41b5-970f-ae290e79270a,2023-10,regular,2,7574,"[""IMPORT/23-10/00312-1"",""IMPORT/23-10/00313-1""]"
5f811af1-7d24-4112-8cad-e7245ea2634a,2023-10,regular,2,13355,"[""IMPORT/23-10/00141-0"",""IMPORT/23-10/00142-0""]"
339c2194-5128-4413-ab41-c6c8a8128434,2023-10,regular,2,13133,"[""IMPORT/23-10/00090-0"",""IMPORT/23-10/00091-0""]"
3447faae-0e3c-4f46-980b-208729833800,2023-10,regular,2,10746,"[""IMPORT/23-10/00001-1"",""IMPORT/23-10/00002-1""]"
5f811af1-7d24-4112-8cad-e7245ea2634a,2023-11,regular,2,14701,"[""IMPORT/23-11/00143-0"",""IMPORT/23-11/00144-0""]"
6eda4f36-5ba8-4b93-b2de-022481039f46,2023-11,regular,2,15503,"[""IMPORT/23-11/00177-0"",""IMPORT/23-11/00178-0""]"
3c9eac87-dd0b-49f5-ba27-aae22a7cf629,2023-12,regular,2,13144,"[""IMPORT/23-12/00062-0"",""IMPORT/23-12/00063-0""]"
f6956ad7-5d64-4b0c-99f0-998589504d34,2023-12,regular,2,14600,"[""IMPORT/23-12/00391-1"",""IMPORT/23-12/00392-1""]"
6475a997-0ace-47be-b0b2-03ed67dc3ca5,2024-01,regular,2,20753,"[""IMPORT/24-01/00155-1"",""IMPORT/24-01/00156-1""]"
1e0bb8aa-b4ea-473a-90f7-c89d96df2323,2024-01,regular,2,7495,"[""IMPORT/24-01/00020-0"",""IMPORT/24-01/00021-0""]"
26ea5f2f-b2ed-4d34-96c4-ba829be1bb0c,2024-01,regular,2,8677,"[""IMPORT/24-01/00048-0"",""IMPORT/24-01/00049-0""]"
296f0113-6916-40f3-8fcc-cd54685de8f3,2024-01,regular,2,7741,"[""IMPORT/24-01/00059-0"",""IMPORT/24-01/00060-0""]"
298a7c4d-846f-4232-aa3e-ca7136e7ebe0,2024-01,regular,2,3177,"[""IMPORT/24-01/00059-3"",""IMPORT/24-01/00060-3""]"
02ca5efe-e730-44ed-8213-fb622197978a,2024-01,regular,2,6145,"[""IMPORT/24-01/00001-2"",""IMPORT/24-01/00002-2""]"
347e8b01-eb88-45d8-a580-571e195ca777,2024-03,regular,2,4919,"[""IMPORT/24-03/00054-0"",""IMPORT/24-03/00055-0""]"
e25f1c90-70a9-4888-9ab7-965ce0b58477,2024-03,regular,2,16793,"[""IMPORT/24-03/00340-0"",""IMPORT/24-03/00341-0""]"
80eee016-bb9d-4eef-ae7d-9dc3447673bf,2024-03,regular,2,3612,"[""IMPORT/24-03/00223-0"",""IMPORT/24-03/00224-0""]"
3866a820-2b57-4f77-8c55-3c6c7aed2eee,2024-03,regular,2,11290,"[""IMPORT/24-03/00086-3"",""IMPORT/24-03/00100-2""]"
56498d84-884f-40e1-bd91-cfb6c94eb3f8,2024-04,regular,2,13133,"[""IMPORT/24-04/00158-0"",""IMPORT/24-04/00159-0""]"
1573f384-8eda-4722-8c9d-fb5824d2d68e,2024-04,regular,2,14300,"[""IMPORT/24-04/00008-0"",""IMPORT/24-04/00009-0""]"
26c78af2-e5af-4f4c-af04-ed1e84a9359e,2024-04,regular,2,14583,"[""IMPORT/24-04/00080-1"",""IMPORT/24-04/00081-1""]"
339c2194-5128-4413-ab41-c6c8a8128434,2024-04,regular,2,16267,"[""IMPORT/24-04/00097-0"",""IMPORT/24-04/00098-0""]"
43dd8c38-f19b-4e75-a934-ec4c973686b9,2024-04,regular,2,14500,"[""IMPORT/24-04/00081-0"",""IMPORT/24-04/00082-0""]"
a47ad7ef-bedd-401f-989d-7d3b2af250c6,2024-04,regular,2,8733,"[""IMPORT/24-04/00263-1"",""IMPORT/24-04/00264-1""]"
6eda4f36-5ba8-4b93-b2de-022481039f46,2024-04,regular,2,15233,"[""IMPORT/24-04/00183-0"",""IMPORT/24-04/00184-0""]"
128d1130-7d0e-426e-9622-a3535454c173,2024-05,regular,2,14500,"[""IMPORT/24-05/00048-2"",""IMPORT/24-05/00049-2""]"
5fcd5e70-7cdf-48fb-ad7e-d00f6d055871,2024-05,regular,2,4048,"[""IMPORT/24-05/00159-0"",""IMPORT/24-05/00160-0""]"
3da3ab8f-68d6-4938-b8fd-1e3cab1a6464,2024-05,regular,2,3177,"[""IMPORT/24-05/00071-0"",""IMPORT/24-05/00072-0""]"
46f10580-1d5d-4bb1-9cef-e69ea1f0bd54,2024-06,regular,2,7602,"[""IMPORT/24-06/00113-0"",""IMPORT/24-06/00114-0""]"
6e1472bb-6002-4892-99e0-a2cb506ec54c,2024-06,regular,2,11246,"[""IMPORT/24-06/00189-1"",""IMPORT/24-06/00190-1""]"
62dc2b76-d436-4b3d-8d68-d366afc0ac24,2024-06,regular,2,20066,"[""IMPORT/24-06/00021-1"",""IMPORT/24-06/00022-1""]"
323f67cc-5fe8-4e19-89b1-838f908c4f0a,2024-06,regular,2,7750,"[""IMPORT/24-06/00085-1"",""IMPORT/24-06/00086-1""]"
b5ab9368-7ed0-44f4-8281-64ccbef2f8b0,2024-06,regular,2,9319,"[""VISTA/24-25/06/00186"",""VISTA/24-25/06/00190""]"
4cdbcb50-8269-4839-948a-b81ec476b274,2024-07,regular,2,13755,"[""IMPORT/24-07/00116-0"",""IMPORT/24-07/00117-0""]"
47ff34bd-dce4-48e4-91d4-a599695e48f1,2024-07,regular,2,3451,"[""IMPORT/24-07/00127-3"",""IMPORT/24-07/00128-3""]"
10f786c8-3837-4bf5-9d96-10b34c9cfbb6,2024-07,regular,2,14646,"[""IMPORT/24-07/00025-2"",""IMPORT/24-07/00026-2""]"
64e94573-3ff8-4444-8463-cc997625aa46,2024-07,regular,2,3338,"[""IMPORT/24-07/00195-3"",""IMPORT/24-07/00196-3""]"
db29fb51-7937-47b8-89ae-a76c37602092,2024-07,regular,2,9419,"[""IMPORT/24-07/00328-0"",""IMPORT/24-07/00329-0""]"
