bed_id,allotment_1,allotment_2,a1_in,a1_out,a1_status,a2_in,a2_out,a2_status,overlap_start,overlap_end
016f303d-6271-385d-c540-0595095bab14,28e5374d-15bb-4a81-a95a-08242c3b6323,848caf4f-f138-4018-bd9a-5af14f58bbc4,2023-03-21,2023-07-08,Exited,2023-07-05,2023-11-30,Exited,2023-07-05,2023-07-08
016f303d-6271-385d-c540-0595095bab14,28e5374d-15bb-4a81-a95a-08242c3b6323,2b6cd2fd-4e9f-41ef-b220-9e5f57afda26,2023-03-21,2023-07-08,Exited,2022-09-02,2023-03-31,Exited,2023-03-21,2023-03-31
046c3e92-cd17-a1e9-aa97-733c3127f809,a9694079-2985-486a-8cd6-bd3243751b22,aad07001-80a0-4f08-982c-ef64795d4775,2024-09-01,null,Staying,2026-02-09,2026-02-11,Exited,2026-02-09,2026-02-11
04c251ff-5d8d-dc9e-d27d-0a96efe3a6b3,4364ae28-1999-46c4-86a4-3d9565069abf,df841318-356f-4456-8a38-b094d9648cec,2024-08-03,2025-07-11,Exited,2023-02-23,2024-08-03,Exited,2024-08-03,2024-08-03
0584f4bb-c204-0301-4599-fc18ed551828,cba9bb70-dcff-450b-b20d-b882c284baf4,f633e445-026c-4a6f-8f98-d485242a4653,2023-07-01,2023-11-30,Exited,2023-01-31,2023-07-08,Exited,2023-07-01,2023-07-08
0584f4bb-c204-0301-4599-fc18ed551828,10f786c8-3837-4bf5-9d96-10b34c9cfbb6,220f6df0-3ed5-40cf-bd01-339aaa13047d,2024-06-15,2025-06-11,Exited,2024-02-25,2024-06-25,Exited,2024-06-15,2024-06-25
0584f4bb-c204-0301-4599-fc18ed551828,47e496e6-1ae7-4640-bcfd-9bdb5ecb1d89,49b09056-47b3-4a11-8d08-91b6907ca646,2025-08-01,2026-06-30,Exited,2025-06-12,2025-08-11,Exited,2025-08-01,2025-08-11
058f4fd0-7a5d-544c-9587-0c2f9de4528f,5348f941-ea06-47de-9913-e7c4bfcec223,61e8ab8c-3cbb-4815-ac41-eb07c4fd4cdc,2023-09-01,2025-05-31,Exited,2023-01-02,2023-09-15,Exited,2023-09-01,2023-09-15
07cdb453-b699-f209-d609-434a47fca737,a57a8308-4dac-4c6d-a841-21d5ba2de228,ca41e865-9a60-42a6-9765-492dcb1e0790,2023-01-24,2023-01-31,Exited,2023-01-31,2023-02-08,Exited,2023-01-31,2023-01-31
084bb169-aff1-824a-c5de-2804fd43160b,4507404f-8056-48af-bccf-9df703e7d029,a30a269f-f3bc-415e-955d-93910e76c95c,2025-02-02,2025-07-05,Exited,2024-11-03,2025-02-10,Exited,2025-02-02,2025-02-10
0e28e491-ba1e-8a78-875b-ab861c7f40e6,cb58257c-05da-4740-9e71-a5571f113c54,f88277df-2e91-4c20-b4dc-542986b2e8d2,2023-07-10,2024-04-05,Exited,2022-12-15,2023-07-10,Exited,2023-07-10,2023-07-10
0e28e491-ba1e-8a78-875b-ab861c7f40e6,cf161048-ad73-472e-9797-1b018565b309,f2328684-b703-4862-a1ac-ccfb81f33593,2024-06-30,2024-09-27,Exited,2024-05-06,2024-07-05,Exited,2024-06-30,2024-07-05
0e28e491-ba1e-8a78-875b-ab861c7f40e6,add0fc75-c260-4d70-8744-7fea8a581cf6,dcb00194-e35e-4017-87a5-7a1ce16e1022,2025-03-09,2025-08-04,Exited,2025-01-13,2025-03-13,Exited,2025-03-09,2025-03-13
0e28e491-ba1e-8a78-875b-ab861c7f40e6,add0fc75-c260-4d70-8744-7fea8a581cf6,c029ada8-f2e8-4017-816f-39ed5259c0e1,2025-03-09,2025-08-04,Exited,2025-08-03,2025-10-15,Exited,2025-08-03,2025-08-04
15d608c9-9596-d151-b9c5-21b22647f848,23bb5686-6f75-407b-b0c1-5f41b67fab6b,349407f1-b9ed-4f70-9e10-33aa675f85e6,2024-07-24,2025-01-15,Exited,2025-01-15,2025-10-05,Exited,2025-01-15,2025-01-15
15d608c9-9596-d151-b9c5-21b22647f848,23bb5686-6f75-407b-b0c1-5f41b67fab6b,516e3c96-c474-4440-a492-8375a30eaede,2024-07-24,2025-01-15,Exited,2024-07-17,2024-07-24,Exited,2024-07-24,2024-07-24
18323ac7-06c3-e126-fb43-8a9b6cbb53ba,1dcbdc90-610b-4530-a9cb-a032f49707e3,6d956c8b-fb4b-472a-86dc-1822f77d09b6,2025-08-26,2026-05-27,Exited,2026-05-27,2026-07-18,Exited,2026-05-27,2026-05-27
