snapshot_at,schema_name,base_tables,views,matviews,scope_status
2026-08-29 09:00:52.160707+00,auth,23,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,cron,2,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,extensions,0,4,0,EXCLUDED
2026-08-29 09:00:52.160707+00,graphql,0,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,graphql_public,0,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,net,2,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,pgbouncer,0,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,realtime,3,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,recon_fix,10,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,storage,8,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,supabase_migrations,1,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,textile,17,0,0,EXCLUDED
2026-08-29 09:00:52.160707+00,vault,1,1,0,EXCLUDED
2026-08-29 09:00:52.160707+00,market,17,0,0,IN_SCOPE
2026-08-29 09:00:52.160707+00,public,131,54,0,IN_SCOPE
