metric_id,metric_name,trust_level,conflict_ids,dq_ids,competing_definitions,definitions_computable,definition_labels,must_appear_on,headline_permitted_anywhere,resolution_owner,resolution_note
M.AR.001A,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),SHOW_BOTH,C.001;C.002;C.005,DQ.002,4,True,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded) | Tenant dues -- Def B: v_tenant_current_dues (reversals included) | Tenant dues -- Def C: application tenant_allotments.balance_due | Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.AR.001B,Tenant dues -- Def B: v_tenant_current_dues (reversals included),SHOW_BOTH,C.001;C.002;C.005,DQ.002,4,True,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded) | Tenant dues -- Def B: v_tenant_current_dues (reversals included) | Tenant dues -- Def C: application tenant_allotments.balance_due | Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.AR.001C,Tenant dues -- Def C: application tenant_allotments.balance_due,BLOCK,C.001;C.005,DQ.002,4,True,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded) | Tenant dues -- Def B: v_tenant_current_dues (reversals included) | Tenant dues -- Def C: application tenant_allotments.balance_due | Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.AR.001D,Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),BLOCK,C.001;C.003;C.005,DQ.002;DQ.019;DQ.023,4,True,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded) | Tenant dues -- Def B: v_tenant_current_dues (reversals included) | Tenant dues -- Def C: application tenant_allotments.balance_due | Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.AR.002,Tenant dues by tenant,BLOCK,C.001;C.003;C.005,DQ.002;DQ.019,4,True,Def A: v_outstanding_receivables (reversals excluded) | Def B: v_tenant_current_dues (reversals included) | Def C: application tenant_allotments.balance_due | Def D: tenant_transactions (frozen legacy),owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.AR.003,Tenant dues by property,SHOW_BOTH,C.001;C.002,DQ.002,4,True,Def A: v_outstanding_receivables (reversals excluded) | Def B: v_tenant_current_dues (reversals included) | Def C: application tenant_allotments.balance_due | Def D: tenant_transactions (frozen legacy),owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.OWN.002,"Owner rent (ledger bucket, 3 definitions)",SHOW_BOTH,C.010;C.011,DQ.016;DQ.017;DQ.020,3,True,Def i (get_universal_metrics v1: EXCLUDED entirely) | Def ii (ledger raw '510%' bucket) | Def iii (get_universal_metrics_v2: substituted),owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.PROFIT.001,Gross/net profit (3 definitions),BLOCK,C.010;C.011,DQ.016;DQ.017,3,True,"Def A (ledger, v_pnl) | Def B (get_universal_metrics v1) | Def C (get_universal_metrics_v2, owner-rent-inclusive)",owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.OCC.001,Current occupancy (5+ definitions),SHOW_BOTH,C.006;C.007;C.008;C.009,DQ.004;DQ.005,5,True,"Def A (v_occupancy, Staying only, Live+Live) | Def B (Staying+On-Notice, Live+Live) | Def C (Staying+On-Notice, ALL beds) | Def D (get_universal_metrics v1, bed.status=Live) | Def E (historical, day-weighted) -- NOT COMPUTED IN PHASE 1",owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
M.OCC.002,Occupancy by property,SHOW_BOTH,C.006;C.007;C.008;C.009,DQ.004;DQ.005,5,True,"Def A (v_occupancy, Staying only, Live+Live) | Def B (Staying+On-Notice, Live+Live) | Def C (Staying+On-Notice, ALL beds) | Def D (get_universal_metrics v1, bed.status=Live) | Def E (historical, day-weighted) -- NOT COMPUTED IN PHASE 1",owner_dashboard;role_views;bi_cards;executive_summary;insight_feed;decision_queue;conversation_answers,False,business owner (not the system),Only an owner decision can settle which definition is authoritative. Until then every surface shows all of them.
