from_surface,metric_id,to_surface,permitted,preserves_metric,preserves_period,preserves_dimensions,trust_gate_applies,next_levels,blocked_reason
owner_home,M.REV.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.REV.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.REV.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.REV.001,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.REV.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.COL.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.COL.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.COL.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.COL.001,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.COL.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.AR.001A,metric_detail,True,True,True,True,True,definitions;evidence,"competing definitions -- drill path leads to the definitions panel, never to a single series"
metric_detail,M.AR.001A,breakdown:allotment_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.AR.001A,breakdown:bed_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.AR.001A,breakdown:tenant_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
owner_home,M.EXP.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.EXP.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.EXP.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.EXP.001,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.EXP.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.PROFIT.001,metric_detail,True,True,True,True,True,definitions;evidence,"competing definitions -- drill path leads to the definitions panel, never to a single series"
metric_detail,M.PROFIT.001,breakdown:allotment_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.PROFIT.001,breakdown:bed_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.PROFIT.001,breakdown:month,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.PROFIT.001,breakdown:tenant_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
owner_home,M.DEP.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.DEP.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.DEP.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.DEP.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.OWN.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.OWN.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.OWN.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.OWN.001,breakdown:month,True,True,True,True,True,detail;evidence,
metric_detail,M.OWN.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.CASH.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.CASH.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.CASH.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.CASH.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.OCC.001,metric_detail,True,True,True,True,True,definitions;evidence,"competing definitions -- drill path leads to the definitions panel, never to a single series"
metric_detail,M.OCC.001,breakdown:allotment_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.OCC.001,breakdown:bed_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.OCC.001,breakdown:month,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
metric_detail,M.OCC.001,breakdown:tenant_id,False,True,True,True,True,detail;evidence,a conflicted metric has no single series to break down
owner_home,M.TEN.001,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.TEN.001,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
metric_detail,M.TEN.001,breakdown:bed_id,True,True,True,True,True,detail;evidence,
metric_detail,M.TEN.001,breakdown:tenant_id,True,True,True,True,True,detail;evidence,
owner_home,M.TEN.002,metric_detail,True,True,True,True,True,trend;breakdown;detail;evidence,
metric_detail,M.TEN.002,breakdown:allotment_id,True,True,True,True,True,detail;evidence,
